Seq,Acc_X_Min,Acc_X_Max,Acc_X_Avg,Acc_X_Variance,Acc_X_StdDev,Acc_X_Range,Acc_X_Skew,Acc_X_Kurtosis,Acc_X_Energy,Acc_Y_Min,Acc_Y_Max,Acc_Y_Avg,Acc_Y_Variance,Acc_Y_StdDev,Acc_Y_Range,Acc_Y_Skew,Acc_Y_Kurtosis,Acc_Y_Energy,Acc_Z_Min,Acc_Z_Max,Acc_Z_Avg,Acc_Z_Variance,Acc_Z_StdDev,Acc_Z_Range,Acc_Z_Skew,Acc_Z_Kurtosis,Acc_Z_Energy,Gyro_X_Min,Gyro_X_Max,Gyro_X_Avg,Gyro_X_Variance,Gyro_X_StdDev,Gyro_X_Range,Gyro_X_Skew,Gyro_X_Kurtosis,Gyro_X_Energy,Gyro_Y_Min,Gyro_Y_Max,Gyro_Y_Avg,Gyro_Y_Variance,Gyro_Y_StdDev,Gyro_Y_Range,Gyro_Y_Skew,Gyro_Y_Kurtosis,Gyro_Y_Energy,Gyro_Z_Min,Gyro_Z_Max,Gyro_Z_Avg,Gyro_Z_Variance,Gyro_Z_StdDev,Gyro_Z_Range,Gyro_Z_Skew,Gyro_Z_Kurtosis,Gyro_Z_Energy,Mag_X_Min,Mag_X_Max,Mag_X_Avg,Mag_X_Variance,Mag_X_StdDev,Mag_X_Range,Mag_X_Skew,Mag_X_Kurtosis,Mag_X_Energy,Mag_Y_Min,Mag_Y_Max,Mag_Y_Avg,Mag_Y_Variance,Mag_Y_StdDev,Mag_Y_Range,Mag_Y_Skew,Mag_Y_Kurtosis,Mag_Y_Energy,Mag_Z_Min,Mag_Z_Max,Mag_Z_Avg,Mag_Z_Variance,Mag_Z_StdDev,Mag_Z_Range,Mag_Z_Skew,Mag_Z_Kurtosis,Mag_Z_Energy
0.0,-1.51099,0.0,-1.02067,0.02021,0.14215,1.51099,-0.00019,6.92288,1.06198,0.0,0.30615,0.21669,0.00092,0.03034,0.30615,-1e-05,6.49337,0.04787,-0.03223,0.2229,0.09149,0.00091,0.03009,0.25513,2e-05,10.09132,0.00928,-235.90088,206.11572,4.28162,3183.46094,56.42217,442.0166,-135591.29688,11.32009,3201.79272,-178.95508,124.38965,-1.24695,2322.58105,48.19316,303.34473,-103150.53906,6.03542,2324.13647,-99.12109,270.75195,7.53235,3517.5459,59.3089,369.87305,194754.15625,5.66831,3574.28418,-4.38232,31.57959,10.57983,54.54482,7.38545,35.96191,316.31989,3.41745,166.47768,0.0,42.51709,25.40894,16.23349,4.02908,42.51709,105.90392,6.26586,661.84747,-9.69238,36.15723,4.2052,58.56168,7.65256,45.84961,701.93835,6.93774,76.24538
1.0,-1.51099,0.0,-1.02104,0.02019,0.1421,1.51099,-0.00017,6.93176,1.06272,0.0,0.30615,0.2168,0.00092,0.03033,0.30615,-1e-05,6.50275,0.04792,-0.03223,0.2229,0.09178,0.0009,0.03,0.25513,2e-05,10.18879,0.00932,-235.90088,206.11572,4.18335,3185.18652,56.43746,442.0166,-134677.64063,11.30262,3202.68652,-178.95508,124.38965,-1.474,2325.87134,48.22729,303.34473,-101632.46875,6.00139,2328.04443,-99.12109,270.75195,7.94678,3529.72363,59.41148,369.87305,190819.6875,5.60487,3592.87598,-4.38232,31.57959,10.62537,54.82265,7.40423,35.96191,310.35773,3.36659,167.72104,0.0,42.51709,25.45764,16.30247,4.03763,42.51709,103.88895,6.1394,664.39398,-9.69238,36.15723,4.17432,58.47475,7.64688,45.84961,707.10321,6.98361,75.89968
2.0,-1.51099,0.0,-1.02091,0.0202,0.14214,1.51099,-0.00017,6.92539,1.06247,0.0,0.30615,0.21683,0.00092,0.03033,0.30615,-1e-05,6.50825,0.04794,-0.03223,0.2229,0.09195,0.0009,0.02993,0.25513,1e-05,10.27436,0.00935,-235.90088,206.11572,4.12048,3185.88843,56.44368,442.0166,-134083.35938,11.29433,3202.86694,-178.95508,124.38965,-1.56494,2325.85522,48.22712,303.34473,-100999.77344,5.99466,2328.30542,-99.12109,270.75195,8.09937,3529.97559,59.4136,369.87305,189212.92188,5.59477,3595.57666,-4.38232,31.57959,10.55005,55.34826,7.43964,35.96191,318.98538,3.34294,166.65176,0.0,42.51709,25.46216,16.27532,4.03427,42.51709,103.79084,6.15095,664.59686,-9.69238,36.15723,4.09399,58.50941,7.64914,45.84961,719.89136,7.04263,75.2702
3.0,-1.51099,0.0,-1.02143,0.02019,0.1421,1.51099,-0.00014,6.93295,1.06351,0.0,0.30615,0.21695,0.00092,0.03032,0.30615,-1e-05,6.51973,0.04799,-0.03223,0.2229,0.09216,0.00089,0.02987,0.25513,1e-05,10.34526,0.00938,-235.90088,206.11572,4.25415,3186.93115,56.45291,442.0166,-135349.04688,11.29404,3205.02881,-178.95508,124.38965,-1.33789,2332.80713,48.29914,303.34473,-102397.50781,5.97688,2334.59692,-99.12109,270.75195,7.67334,3553.70068,59.61292,369.87305,192555.42188,5.55069,3612.58228,-4.38232,31.57959,10.51917,55.41047,7.44382,35.96191,323.9487,3.34851,166.06326,0.0,42.51709,25.47534,16.2385,4.0297,42.51709,103.23072,6.15751,665.23157,-9.69238,36.15723,4.01904,58.43863,7.64452,45.84961,731.93671,7.12284,74.59132
4.0,-1.51099,0.0,-1.02114,0.02022,0.1422,1.51099,-0.00016,6.91375,1.06295,0.0,0.30615,0.21692,0.00092,0.03033,0.30615,-1e-05,6.50837,0.04797,-0.03223,0.2229,0.09227,0.00089,0.02982,0.25513,1e-05,10.39588,0.0094,-235.90088,206.11572,4.27307,3186.81909,56.45192,442.0166,-135529.39063,11.29585,3205.07837,-178.95508,124.38965,-1.28723,2333.38818,48.30516,303.34473,-102746.74219,5.97773,2335.04517,-99.12109,270.75195,7.63184,3554.34058,59.61829,369.87305,192990.34375,5.55123,3612.58716,-4.38232,31.57959,10.61658,56.48372,7.51556,35.96191,318.77802,3.21959,169.19539,0.0,42.51709,25.57581,16.76201,4.09414,42.51709,102.83847,5.75083,670.88391,-9.69238,36.15723,4.02576,58.50549,7.64889,45.84961,731.25922,7.1018,74.7122
5.0,-1.51099,0.0,-1.0216,0.02021,0.14215,1.51099,-0.00013,6.92178,1.06388,0.0,0.30615,0.21705,0.00092,0.03033,0.30615,-1e-05,6.51682,0.04803,-0.03223,0.2229,0.0925,0.00089,0.02979,0.25513,1e-05,10.42245,0.00944,-235.90088,206.11572,4.15894,3188.72119,56.46876,442.0166,-134465.4375,11.27635,3206.01904,-178.95508,124.38965,-1.51245,2336.61938,48.33859,303.34473,-101232.47656,5.94459,2338.90796,-99.12109,270.75195,8.06091,3567.74683,59.73062,369.87305,188918.0,5.48533,3632.72656,-4.38232,31.57959,10.6095,56.47462,7.51496,35.96191,319.96799,3.22346,169.03604,0.0,42.51709,25.60535,16.71703,4.08865,42.51709,101.47077,5.73774,672.35083,-9.69238,36.15723,3.97302,58.4316,7.64406,45.84961,740.06506,7.1649,74.21653
6.0,-1.51099,0.0,-1.02147,0.02022,0.14219,1.51099,-0.00014,6.9143,1.06361,0.0,0.30615,0.21708,0.00092,0.03033,0.30615,-1e-05,6.52191,0.04804,-0.03223,0.2229,0.09258,0.00089,0.02977,0.25513,1e-05,10.44617,0.00946,-235.90088,206.11572,4.15833,3188.72681,56.46881,442.0166,-134459.65625,11.27627,3206.01929,-178.95508,124.38965,-1.49902,2336.78174,48.34027,303.34473,-101325.10937,5.94477,2339.0293,-99.12109,270.75195,8.00842,3568.67383,59.73838,369.87305,189467.3125,5.48561,3632.80957,-4.38232,31.57959,10.53052,57.00372,7.55008,35.96191,329.52188,3.2042,167.89551,0.0,42.51709,25.59973,16.74683,4.09229,42.51709,101.63362,5.72698,672.0932,-9.69238,36.15723,3.88403,58.37584,7.64041,45.84961,753.86908,7.25597,73.46156
7.0,-1.51099,0.0,-1.0218,0.02021,0.14216,1.51099,-0.00012,6.92114,1.06428,0.0,0.30615,0.21716,0.00092,0.03032,0.30615,-1e-05,6.53142,0.04808,-0.03223,0.2229,0.09271,0.00088,0.02974,0.25513,1e-05,10.47277,0.00948,-235.90088,206.11572,4.26575,3189.69849,56.47742,442.0166,-135477.6875,11.27512,3207.89429,-178.95508,124.38965,-1.29028,2342.7915,48.40239,303.34473,-102637.82812,5.93051,2344.45679,-99.12109,270.75195,7.6123,3589.77808,59.91476,369.87305,192722.09375,5.4484,3647.72729,-4.38232,31.57959,10.53955,57.0251,7.5515,35.96191,328.01657,3.19817,168.10722,0.0,42.51709,25.63367,16.70249,4.08687,42.51709,100.07205,5.7073,673.78741,-9.69238,36.15723,3.81433,58.32621,7.63716,45.84961,765.19751,7.33022,72.87532
8.0,-1.51099,0.0,-1.02159,0.02023,0.14223,1.51099,-0.00013,6.90817,1.06387,0.0,0.30615,0.21714,0.00092,0.03033,0.30615,-1e-05,6.52737,0.04807,-0.03223,0.2229,0.09281,0.00088,0.02972,0.25513,1e-05,10.50251,0.0095,-235.90088,206.11572,4.24866,3189.86694,56.47891,442.0166,-135315.45313,11.27302,3207.91748,-178.95508,124.38965,-1.37329,2342.90503,48.40356,303.34473,-102056.03125,5.92375,2344.79102,-99.12109,270.75195,7.74353,3589.98145,59.91645,369.87305,191314.65625,5.43997,3649.94556,-4.38232,31.57959,10.62854,57.88427,7.60817,35.96191,320.66086,3.09158,170.85011,0.0,42.51709,25.72473,17.12793,4.13859,42.51709,98.82939,5.37975,678.88977,-9.69238,36.15723,3.81885,58.36323,7.63958,45.84961,764.63495,7.31723,72.94682
9.0,-1.51099,0.0,-1.02188,0.02022,0.14218,1.51099,-0.00011,6.91606,1.06445,0.0,0.30615,0.21725,0.00092,0.03032,0.30615,-1e-05,6.53939,0.04812,-0.03223,0.2229,0.09295,0.00088,0.02969,0.25513,1e-05,10.52753,0.00952,-235.90088,206.11572,4.12842,3192.09937,56.49867,442.0166,-134199.8125,11.25095,3209.14307,-178.95508,124.38965,-1.51123,2343.98804,48.41475,303.34473,-101099.1875,5.9081,2346.27271,-99.12109,270.75195,8.11462,3599.59131,59.99659,369.87305,187626.9375,5.39001,3665.43823,-4.38232,31.57959,10.59387,57.97166,7.61391,35.96191,326.41614,3.09585,170.20178,0.0,42.51709,25.73621,17.09772,4.13494,42.51709,98.30375,5.38288,679.45007,-9.69238,36.15723,3.75769,58.33015,7.63742,45.84961,774.75476,7.38069,72.45037
10.0,-1.51099,0.0,-1.02189,0.02022,0.14218,1.51099,-0.00011,6.91659,1.06448,0.0,0.30615,0.2173,0.00092,0.03031,0.30615,-1e-05,6.5473,0.04814,-0.03223,0.2229,0.09301,0.00088,0.02968,0.25513,1e-05,10.54372,0.00953,-235.90088,206.11572,4.17358,3192.13208,56.49895,442.0166,-134632.0625,11.2531,3209.55127,-178.95508,124.38965,-1.40503,2345.97119,48.43523,303.34473,-101815.57812,5.90603,2347.94507,-99.12109,270.75195,7.8894,3607.41333,60.06174,369.87305,189829.26563,5.38025,3669.65845,-4.38232,31.57959,10.53589,58.27458,7.63378,35.96191,334.85257,3.08905,169.27948,0.0,42.51709,25.74194,17.07166,4.13179,42.51709,98.09892,5.39065,679.71936,-9.69238,36.15723,3.68384,58.25496,7.63249,45.84961,786.60565,7.46709,71.82562
11.0,-1.51099,0.0,-1.02199,0.02021,0.14216,1.51099,-0.00011,6.92046,1.06468,0.0,0.30615,0.21733,0.00092,0.03031,0.30615,-1e-05,6.55374,0.04815,-0.03223,0.2229,0.09313,0.00088,0.02966,0.25513,1e-05,10.57143,0.00955,-235.90088,206.11572,4.28406,3192.5127,56.50232,442.0166,-135685.79688,11.25628,3210.86597,-178.95508,124.38965,-1.26953,2349.19507,48.46849,303.34473,-102706.11719,5.90009,2350.80664,-99.12109,270.75195,7.5824,3620.61475,60.17154,369.87305,192659.73438,5.3604,3678.10937,-4.38232,31.57959,10.58032,58.46017,7.64593,35.96191,327.87286,3.05325,170.40337,0.0,42.51709,25.79456,17.09936,4.13514,42.51709,95.77718,5.30476,682.45862,-9.69238,36.15723,3.64111,58.08705,7.62149,45.84961,793.37189,7.5495,71.34475
12.0,-1.51099,0.0,-1.02206,0.0202,0.14214,1.51099,-0.0001,6.92341,1.0648,0.0,0.30615,0.21738,0.00092,0.0303,0.30615,-1e-05,6.56308,0.04817,-0.03223,0.2229,0.09326,0.00088,0.02963,0.25513,1e-05,10.59612,0.00958,-235.90088,206.11572,4.19434,3193.65137,56.5124,442.0166,-134838.95313,11.2435,3211.24365,-178.95508,124.38965,-1.40564,2350.16748,48.47853,303.34473,-101758.17969,5.88515,2352.14404,-99.12109,270.75195,7.86743,3624.61475,60.20477,369.87305,189661.95313,5.33214,3686.51221,-4.38232,31.57959,10.63367,58.80733,7.66859,35.96191,320.56351,3.00085,171.88219,0.0,42.51709,25.85229,17.17977,4.14485,42.51709,93.37347,5.18601,685.52112,-9.69238,36.15723,3.60291,57.86431,7.60686,45.84961,798.90381,7.64245,70.84523
13.0,-1.51099,0.0,-1.0221,0.0202,0.14213,1.51099,-0.0001,6.92543,1.06489,0.0,0.30615,0.21744,0.00092,0.03029,0.30615,-1e-05,6.57379,0.0482,-0.03223,0.2229,0.09336,0.00088,0.02961,0.25513,1e-05,10.61906,0.00959,-235.90088,206.11572,4.11133,3194.91821,56.52361,442.0166,-134059.375,11.23024,3211.82129,-178.95508,124.38965,-1.47339,2350.20898,48.47895,303.34473,-101281.3125,5.87997,2352.37988,-99.12109,270.75195,8.11462,3627.80151,60.23124,369.87305,187041.5,5.30872,3693.64868,-4.38232,31.57959,10.59265,58.96098,7.67861,35.96191,327.2049,3.0012,171.16522,0.0,42.51709,25.85864,17.1531,4.14163,42.51709,93.13124,5.19328,685.82263,-9.69238,36.15723,3.53174,57.66405,7.59368,45.84961,809.91302,7.76274,70.13721
14.0,-1.51099,0.0,-1.0231,0.02007,0.14168,1.51099,-5e-05,7.00903,1.0668,0.0,0.30615,0.21774,0.00091,0.03014,0.30615,-1e-05,6.71645,0.04832,-0.03223,0.2229,0.09351,0.00087,0.02956,0.25513,1e-05,10.68332,0.00962,-235.90088,206.11572,4.24927,3195.43213,56.52815,442.0166,-135373.67188,11.23391,3213.48853,-178.95508,124.38965,-1.3031,2353.29004,48.51072,303.34473,-102428.53125,5.87728,2354.98853,-99.12109,270.75195,7.78076,3643.39819,60.36057,369.87305,190043.3125,5.28427,3703.93896,-4.38232,31.57959,10.55164,59.09924,7.6876,35.96191,333.94638,3.00326,170.43623,0.0,42.51709,25.87122,17.10664,4.13602,42.51709,92.61884,5.20436,686.42657,-9.69238,36.15723,3.47302,57.53564,7.58523,45.84961,819.3421,7.85445,69.5975
15.0,-1.51099,0.0,-1.02261,0.0201,0.14178,1.51099,-8e-05,6.99075,1.06583,0.0,0.30615,0.2176,0.00091,0.03014,0.30615,-1e-05,6.70254,0.04826,-0.03223,0.2229,0.09357,0.00087,0.02954,0.25513,1e-05,10.70505,0.00963,-235.90088,206.11572,3.48511,3133.15308,55.97458,442.0166,-133041.70313,11.60357,3145.2998,-178.95508,124.38965,-1.66138,2333.53174,48.30664,303.34473,-100842.00781,5.94263,2336.29199,-99.12109,270.75195,7.64099,3647.4231,60.3939,369.87305,191478.125,5.28079,3705.80713,-4.38232,31.57959,10.61597,59.62454,7.72169,35.96191,326.37271,2.93466,172.32329,0.0,42.51709,25.91858,17.30749,4.16023,42.51709,91.07826,5.03973,689.08038,-9.69238,36.15723,3.49719,57.59849,7.58937,45.84961,815.32617,7.81363,69.82882
16.0,-1.51099,0.0,-1.02216,0.02009,0.14175,1.51099,-0.00011,6.99615,1.0649,0.0,0.30615,0.21765,0.00091,0.03014,0.30615,-1e-05,6.70911,0.04828,-0.03223,0.2229,0.09347,0.00087,0.02951,0.25513,1e-05,10.76296,0.00961,-235.90088,206.11572,3.21838,3133.62207,55.97876,442.0166,-130582.57812,11.5858,3143.98096,-178.95508,124.38965,-1.66809,2333.67334,48.30811,303.34473,-100797.21094,5.94142,2336.4563,-99.12109,270.75195,8.08105,3653.85254,60.44711,369.87305,186942.20313,5.23779,3719.15625,-4.38232,31.57959,10.65662,59.719,7.72781,35.96191,319.42834,2.91095,173.28246,0.0,42.51709,25.90088,17.19601,4.14681,42.51709,91.45387,5.11906,688.0517,-9.69238,36.15723,3.56616,57.07342,7.5547,45.84961,807.28052,7.88084,69.79092
