Seq,Acc_X_Min,Acc_X_Max,Acc_X_Avg,Acc_X_Variance,Acc_X_StdDev,Acc_X_Range,Acc_X_Skew,Acc_X_Kurtosis,Acc_X_Energy,Acc_Y_Min,Acc_Y_Max,Acc_Y_Avg,Acc_Y_Variance,Acc_Y_StdDev,Acc_Y_Range,Acc_Y_Skew,Acc_Y_Kurtosis,Acc_Y_Energy,Acc_Z_Min,Acc_Z_Max,Acc_Z_Avg,Acc_Z_Variance,Acc_Z_StdDev,Acc_Z_Range,Acc_Z_Skew,Acc_Z_Kurtosis,Acc_Z_Energy,Gyro_X_Min,Gyro_X_Max,Gyro_X_Avg,Gyro_X_Variance,Gyro_X_StdDev,Gyro_X_Range,Gyro_X_Skew,Gyro_X_Kurtosis,Gyro_X_Energy,Gyro_Y_Min,Gyro_Y_Max,Gyro_Y_Avg,Gyro_Y_Variance,Gyro_Y_StdDev,Gyro_Y_Range,Gyro_Y_Skew,Gyro_Y_Kurtosis,Gyro_Y_Energy,Gyro_Z_Min,Gyro_Z_Max,Gyro_Z_Avg,Gyro_Z_Variance,Gyro_Z_StdDev,Gyro_Z_Range,Gyro_Z_Skew,Gyro_Z_Kurtosis,Gyro_Z_Energy,Mag_X_Min,Mag_X_Max,Mag_X_Avg,Mag_X_Variance,Mag_X_StdDev,Mag_X_Range,Mag_X_Skew,Mag_X_Kurtosis,Mag_X_Energy,Mag_Y_Min,Mag_Y_Max,Mag_Y_Avg,Mag_Y_Variance,Mag_Y_StdDev,Mag_Y_Range,Mag_Y_Skew,Mag_Y_Kurtosis,Mag_Y_Energy,Mag_Z_Min,Mag_Z_Max,Mag_Z_Avg,Mag_Z_Variance,Mag_Z_StdDev,Mag_Z_Range,Mag_Z_Skew,Mag_Z_Kurtosis,Mag_Z_Energy
0.0,-1.01648,0.0,-1.01502,0.0,0.00068,1.01648,0.0,3.40059,1.03026,-0.00732,0.0,-0.00602,0.0,0.0006,0.00732,0.0,4.54617,4e-05,-0.12476,0.0,-0.10948,1e-05,0.00288,0.12476,-0.0,14.37223,0.01199,0.0,1.34277,1.11511,0.0102,0.10098,1.34277,-0.0002,2.77709,1.25367,0.0,2.92969,2.62512,0.0095,0.09746,2.92969,0.00022,2.91455,6.90076,0.0,2.01416,1.76025,0.00803,0.08959,2.01416,0.0003,3.24022,3.10652,-4.54102,0.0,-3.54944,0.14114,0.37569,4.54102,-0.00014,3.02368,12.73965,0.0,33.1665,32.43665,0.0868,0.29461,33.1665,-0.00162,2.33212,1052.2229,-3.41797,0.97656,-1.42163,0.56723,0.75315,4.39453,0.02951,3.29807,2.58826
1.0,-1.01648,0.0,-1.01501,0.0,0.00068,1.01648,0.0,3.33663,1.03024,-0.00732,0.0,-0.00602,0.0,0.0006,0.00732,0.0,4.54617,4e-05,-0.12476,0.0,-0.10932,1e-05,0.00244,0.12476,-0.0,13.34533,0.01196,0.0,1.34277,1.11511,0.0102,0.10098,1.34277,-0.0002,2.77709,1.25367,0.0,2.92969,2.62634,0.00965,0.09821,2.92969,0.0002,2.83896,6.90732,0.0,2.01416,1.76025,0.00803,0.08959,2.01416,0.0003,3.24022,3.10652,-4.54102,0.0,-3.55444,0.14108,0.37561,4.54102,0.00166,3.02657,12.77515,0.0,33.1665,32.44727,0.08469,0.29101,33.1665,-0.00104,2.28594,1052.90991,-3.41797,0.97656,-1.40796,0.57621,0.75908,4.39453,0.01687,3.22337,2.55856
2.0,-1.01648,0.0,-1.01499,0.0,0.00069,1.01648,0.0,3.23754,1.0302,-0.00793,0.0,-0.00604,0.0,0.00063,0.00793,0.0,4.65426,4e-05,-0.12476,0.0,-0.10917,0.0,0.00206,0.12476,-0.0,10.58274,0.01192,0.0,1.34277,1.11572,0.01014,0.10069,1.34277,-0.00022,2.8102,1.25498,0.0,2.92969,2.62756,0.00964,0.09818,2.92969,0.00017,2.83233,6.91373,0.0,2.01416,1.7627,0.00807,0.08982,2.01416,0.00027,3.18335,3.11516,-4.54102,0.0,-3.55786,0.13822,0.37178,4.54102,0.00119,3.09294,12.7966,0.0,33.1665,32.45007,0.08388,0.28963,33.1665,-0.00152,2.32274,1053.09131,-3.41797,0.97656,-1.41003,0.57717,0.75972,4.39453,0.0201,3.21342,2.56537
3.0,-1.01648,0.0,-1.015,0.0,0.00069,1.01648,0.0,3.27797,1.03022,-0.00793,0.0,-0.00603,0.0,0.00063,0.00793,0.0,4.68238,4e-05,-0.12476,0.0,-0.10907,0.0,0.00179,0.12476,-0.0,8.85913,0.0119,0.0,1.34277,1.11572,0.01014,0.10069,1.34277,-0.00022,2.8102,1.25498,0.0,2.92969,2.62939,0.00929,0.09638,2.92969,0.00018,2.89285,6.923,0.0,2.01416,1.76453,0.0082,0.09057,2.01416,0.00025,3.08987,3.12176,-4.54102,0.0,-3.56348,0.13634,0.36924,4.54102,0.00259,3.15942,12.83471,0.0,33.1665,32.45471,0.08281,0.28776,33.1665,-0.00225,2.3675,1053.39111,-3.41797,0.97656,-1.41614,0.56946,0.75463,4.39453,0.02272,3.27925,2.57491
4.0,-1.01648,0.0,-1.01503,0.0,0.00067,1.01648,0.0,2.96915,1.03029,-0.00793,0.0,-0.00602,0.0,0.00063,0.00793,0.0,4.65598,4e-05,-0.12476,0.0,-0.10897,0.0,0.00161,0.12476,-0.0,8.25948,0.01188,0.0,1.34277,1.11694,0.0101,0.10048,1.34277,-0.00025,2.84197,1.25766,0.0,2.92969,2.63184,0.00896,0.09467,2.92969,0.00018,2.92765,6.93552,0.0,2.01416,1.76575,0.00821,0.09063,2.01416,0.00023,3.06497,3.12608,-4.54102,0.0,-3.56702,0.13577,0.36848,4.54102,0.00386,3.18603,12.85938,0.0,33.1665,32.45837,0.08318,0.28841,33.1665,-0.00301,2.35582,1053.62927,-3.41797,0.97656,-1.43994,0.59068,0.76856,4.39453,0.01624,3.24961,2.66411
5.0,-1.01648,0.0,-1.01503,0.0,0.00067,1.01648,0.0,2.96427,1.03029,-0.00793,0.0,-0.00601,0.0,0.00063,0.00793,0.0,4.6018,4e-05,-0.12476,0.0,-0.1089,0.0,0.00145,0.12476,-0.0,7.78996,0.01186,0.0,1.34277,1.11511,0.01005,0.10024,1.34277,-0.00021,2.84458,1.25352,0.0,2.92969,2.63367,0.00882,0.09391,2.92969,0.00016,2.97038,6.94502,0.0,2.01416,1.76758,0.00789,0.08883,2.01416,0.00024,3.12601,3.13222,-4.54102,0.0,-3.57153,0.13292,0.36458,4.54102,0.0041,3.27967,12.88877,0.0,33.1665,32.45471,0.08227,0.28683,33.1665,-0.00239,2.38916,1053.3905,-3.41797,0.97656,-1.4408,0.58961,0.76786,4.39453,0.01674,3.25917,2.6655
6.0,-1.01648,0.0,-1.01504,0.0,0.00066,1.01648,0.0,3.03993,1.03031,-0.00793,0.0,-0.006,0.0,0.00064,0.00793,0.0,4.41307,4e-05,-0.12476,0.0,-0.10884,0.0,0.00134,0.12476,-0.0,8.05682,0.01185,0.0,1.34277,1.11511,0.01005,0.10024,1.34277,-0.00021,2.84458,1.25352,0.0,2.92969,2.63367,0.00882,0.09391,2.92969,0.00016,2.97038,6.94502,0.0,2.01416,1.7688,0.0079,0.08886,2.01416,0.00022,3.10519,3.13655,-4.54102,0.0,-3.5802,0.13283,0.36445,4.54102,0.00592,3.2921,12.95066,0.0,33.1665,32.45642,0.08078,0.28422,33.1665,-0.00182,2.38996,1053.5,-3.41797,0.97656,-1.44458,0.58529,0.76505,4.39453,0.01958,3.2991,2.67211
7.0,-1.01648,0.0,-1.01503,0.0,0.00067,1.01648,0.0,2.94875,1.03029,-0.00793,0.0,-0.00599,0.0,0.00065,0.00793,0.0,4.27235,4e-05,-0.12476,0.0,-0.10879,0.0,0.00123,0.12476,-0.0,8.01976,0.01184,0.0,1.34277,1.11633,0.01015,0.10077,1.34277,-0.00023,2.80701,1.25635,0.0,2.92969,2.63306,0.00879,0.09377,2.92969,0.00017,2.99258,6.94178,0.0,2.01416,1.7688,0.0079,0.08886,2.01416,0.00022,3.10519,3.13655,-4.54102,0.0,-3.57971,0.13314,0.36488,4.54102,0.00588,3.27964,12.94748,0.0,33.1665,32.46619,0.08144,0.28538,33.1665,-0.00183,2.4098,1054.13464,-3.41797,0.97656,-1.44055,0.59303,0.77009,4.39453,0.02377,3.25495,2.66822
8.0,-1.01648,0.0,-1.01504,0.0,0.00067,1.01648,0.0,2.90682,1.0303,-0.00793,0.0,-0.00599,0.0,0.00064,0.00793,0.0,4.32931,4e-05,-0.12476,0.0,-0.10875,0.0,0.00111,0.12476,-0.0,6.84318,0.01183,0.0,1.34277,1.11755,0.01011,0.10055,1.34277,-0.00026,2.84023,1.25904,0.0,2.92969,2.63367,0.00882,0.09391,2.92969,0.00016,2.97038,6.94502,0.0,2.01416,1.7688,0.0079,0.08886,2.01416,0.00022,3.10519,3.13655,-4.54102,0.0,-3.58765,0.13293,0.3646,4.54102,0.00779,3.29849,13.00414,0.0,33.1665,32.46985,0.08226,0.28682,33.1665,-0.00247,2.37766,1054.37341,-3.41797,0.97656,-1.43896,0.59278,0.76992,4.39453,0.02099,3.25732,2.6634
9.0,-1.01648,0.0,-1.01505,0.0,0.00066,1.01648,0.0,3.00369,1.03033,-0.00793,0.0,-0.00598,0.0,0.00064,0.00793,0.0,4.39812,4e-05,-0.12476,0.0,-0.1087,0.0,0.00099,0.12476,-0.0,4.85212,0.01182,0.0,1.34277,1.11755,0.01011,0.10055,1.34277,-0.00026,2.84023,1.25904,0.0,2.92969,2.63489,0.0085,0.09218,2.92969,0.0002,2.99951,6.95113,0.0,2.01416,1.77063,0.00756,0.08696,2.01416,0.00023,3.16167,3.14269,-4.54102,0.0,-3.59753,0.13081,0.36167,4.54102,0.00895,3.36232,13.07306,0.0,33.1665,32.47644,0.0832,0.28844,33.1665,-0.00329,2.36623,1054.80237,-3.41797,0.97656,-1.44995,0.58947,0.76777,4.39453,0.03641,3.29142,2.69183
10.0,-1.01648,0.0,-1.01503,0.0,0.0007,1.01648,0.0,3.79567,1.03029,-0.00793,0.0,-0.00599,0.0,0.00064,0.00793,0.0,4.41839,4e-05,-0.12476,0.0,-0.10866,0.0,0.00092,0.12476,-0.0,4.01071,0.01181,0.0,1.34277,1.11572,0.01029,0.10143,1.34277,-0.00024,2.76164,1.25512,0.0,2.92969,2.63367,0.00837,0.0915,2.92969,0.00021,3.0814,6.94457,0.0,2.01416,1.77063,0.00756,0.08696,2.01416,0.00023,3.16167,3.14269,-4.54102,0.0,-3.59937,0.13061,0.36141,4.54102,0.00963,3.37593,13.08605,0.0,33.1665,32.48499,0.0824,0.28706,33.1665,-0.0038,2.38672,1055.35669,-3.41797,0.97656,-1.46338,0.58051,0.76191,4.39453,0.04944,3.37077,2.72199
