Seq,Acc_X_Min,Acc_X_Max,Acc_X_Avg,Acc_X_Variance,Acc_X_StdDev,Acc_X_Range,Acc_X_Skew,Acc_X_Kurtosis,Acc_X_Energy,Acc_Y_Min,Acc_Y_Max,Acc_Y_Avg,Acc_Y_Variance,Acc_Y_StdDev,Acc_Y_Range,Acc_Y_Skew,Acc_Y_Kurtosis,Acc_Y_Energy,Acc_Z_Min,Acc_Z_Max,Acc_Z_Avg,Acc_Z_Variance,Acc_Z_StdDev,Acc_Z_Range,Acc_Z_Skew,Acc_Z_Kurtosis,Acc_Z_Energy,Gyro_X_Min,Gyro_X_Max,Gyro_X_Avg,Gyro_X_Variance,Gyro_X_StdDev,Gyro_X_Range,Gyro_X_Skew,Gyro_X_Kurtosis,Gyro_X_Energy,Gyro_Y_Min,Gyro_Y_Max,Gyro_Y_Avg,Gyro_Y_Variance,Gyro_Y_StdDev,Gyro_Y_Range,Gyro_Y_Skew,Gyro_Y_Kurtosis,Gyro_Y_Energy,Gyro_Z_Min,Gyro_Z_Max,Gyro_Z_Avg,Gyro_Z_Variance,Gyro_Z_StdDev,Gyro_Z_Range,Gyro_Z_Skew,Gyro_Z_Kurtosis,Gyro_Z_Energy,Mag_X_Min,Mag_X_Max,Mag_X_Avg,Mag_X_Variance,Mag_X_StdDev,Mag_X_Range,Mag_X_Skew,Mag_X_Kurtosis,Mag_X_Energy,Mag_Y_Min,Mag_Y_Max,Mag_Y_Avg,Mag_Y_Variance,Mag_Y_StdDev,Mag_Y_Range,Mag_Y_Skew,Mag_Y_Kurtosis,Mag_Y_Energy,Mag_Z_Min,Mag_Z_Max,Mag_Z_Avg,Mag_Z_Variance,Mag_Z_StdDev,Mag_Z_Range,Mag_Z_Skew,Mag_Z_Kurtosis,Mag_Z_Energy
0.0,-0.38,1.32,0.54,0.12,0.35,1.7,-0.01,2.59,0.41,-0.77,0.69,0.31,0.06,0.24,1.46,-0.02,8.73,0.15,-0.23,2.05,0.6,0.11,0.33,2.29,0.03,6.61,0.47,-164.25,200.74,3.72,2094.37,45.76,364.99,25884.22,8.33,2108.22,-223.33,86.91,-1.54,1707.85,41.33,310.24,-125081.64,10.69,1710.23,-140.62,136.72,-0.74,1953.83,44.2,277.34,-13524.25,4.17,1954.38,-31.67,36.5,-2.9,192.72,13.88,68.16,2662.15,3.99,201.11,0.0,84.07,49.76,406.32,20.16,84.07,-863.8,1.73,2882.8,-19.01,47.97,-4.79,125.58,11.21,66.98,3818.36,13.11,148.55
1.0,-0.38,1.34,0.54,0.13,0.36,1.72,-0.01,2.61,0.42,-0.77,0.69,0.31,0.06,0.24,1.46,-0.02,8.73,0.15,-0.23,2.05,0.59,0.12,0.34,2.29,0.03,6.28,0.47,-164.25,200.74,3.36,2109.21,45.93,364.99,27623.35,8.23,2120.47,-223.33,86.91,-1.56,1707.7,41.32,310.24,-124995.06,10.69,1710.13,-140.62,136.72,-0.77,1953.69,44.2,277.34,-13371.02,4.17,1954.28,-31.67,36.5,-2.74,192.42,13.87,68.16,2581.13,3.96,199.91,0.0,84.07,49.68,407.53,20.19,84.07,-775.83,1.72,2875.66,-19.01,49.12,-4.17,153.57,12.39,68.13,5104.41,11.79,170.97
2.0,-0.38,1.34,0.54,0.13,0.36,1.72,-0.01,2.59,0.42,-0.77,0.69,0.31,0.06,0.24,1.46,-0.02,8.37,0.15,-0.23,2.05,0.59,0.12,0.35,2.29,0.03,6.04,0.47,-164.25,200.74,2.88,2099.06,45.82,364.99,30187.26,8.31,2107.36,-223.33,86.91,-1.83,1713.78,41.4,310.24,-123780.75,10.57,1717.11,-140.62,136.72,-0.25,2009.79,44.83,277.34,-11564.24,4.04,2009.85,-31.67,36.5,-2.61,192.04,13.86,68.16,2512.88,3.94,198.84,0.0,84.07,49.6,408.07,20.2,84.07,-680.67,1.71,2868.15,-19.01,51.54,-3.52,183.24,13.54,70.54,6482.66,10.63,195.61
3.0,-0.38,1.34,0.55,0.13,0.36,1.72,-0.01,2.54,0.43,-0.77,0.69,0.31,0.06,0.24,1.46,-0.02,8.42,0.15,-0.32,2.05,0.58,0.13,0.36,2.37,0.02,5.76,0.46,-164.25,200.74,2.5,2116.5,46.01,364.99,31858.63,8.2,2122.75,-223.33,86.91,-2.33,1698.83,41.22,310.24,-121862.06,10.66,1704.25,-140.62,136.72,-1.4,2158.89,46.46,277.34,-22609.6,3.97,2160.86,-31.67,36.5,-2.46,192.29,13.87,68.16,2436.68,3.89,198.36,0.0,84.07,49.52,408.01,20.2,84.07,-579.52,1.71,2859.77,-19.01,52.1,-2.87,212.88,14.59,71.11,7796.07,9.53,221.1
4.0,-0.38,1.34,0.55,0.14,0.37,1.72,-0.01,2.5,0.44,-0.77,0.69,0.31,0.06,0.24,1.46,-0.02,8.41,0.15,-0.32,2.05,0.57,0.13,0.36,2.37,0.02,5.55,0.46,-164.25,200.74,2.27,2118.47,46.03,364.99,33247.86,8.19,2123.64,-223.33,86.91,-2.38,1698.15,41.21,310.24,-121614.49,10.66,1703.8,-140.62,136.72,-0.74,2211.71,47.03,277.34,-23080.37,3.85,2212.25,-31.67,36.5,-2.35,192.32,13.87,68.16,2377.27,3.86,197.86,0.0,84.07,49.4,407.73,20.19,84.07,-438.44,1.71,2847.71,-19.01,52.98,-2.21,242.66,15.58,71.98,9068.86,8.57,247.55
5.0,-0.38,1.34,0.55,0.14,0.37,1.72,-0.01,2.49,0.44,-0.77,0.69,0.31,0.06,0.24,1.46,-0.02,8.37,0.15,-0.32,2.05,0.56,0.14,0.37,2.37,0.02,5.35,0.46,-164.25,200.74,2.02,2123.63,46.08,364.99,34762.64,8.16,2127.7,-223.33,86.91,-2.43,1698.76,41.22,310.24,-121365.43,10.64,1704.66,-140.62,136.72,-0.32,2233.44,47.26,277.34,-24864.88,3.79,2233.54,-31.67,36.5,-2.2,193.23,13.9,68.16,2302.43,3.79,198.08,0.0,84.07,49.23,406.8,20.17,84.07,-250.11,1.72,2830.32,-19.01,52.98,-1.57,270.33,16.44,71.98,10132.56,7.7,272.79
6.0,-0.38,1.35,0.56,0.14,0.38,1.73,-0.01,2.49,0.45,-0.77,0.69,0.31,0.06,0.24,1.46,-0.02,8.48,0.16,-0.32,2.05,0.56,0.14,0.38,2.37,0.02,5.15,0.45,-164.25,200.74,2.18,2129.34,46.14,364.99,33862.1,8.11,2134.11,-223.33,86.91,-2.21,1698.24,41.21,310.24,-122448.91,10.69,1703.13,-140.62,136.72,-1.58,2376.91,48.75,277.34,-33379.75,3.69,2379.42,-31.67,36.5,-1.98,193.24,13.9,68.16,2201.0,3.73,197.16,0.0,84.07,49.09,405.33,20.13,84.07,-99.27,1.73,2815.19,-19.01,53.34,-0.92,299.05,17.29,72.35,11215.39,6.97,299.89
7.0,-0.38,1.35,0.56,0.14,0.38,1.73,-0.01,2.46,0.46,-0.77,0.69,0.31,0.06,0.24,1.46,-0.02,8.53,0.16,-0.32,2.05,0.55,0.14,0.38,2.37,0.02,5.05,0.44,-164.25,200.74,2.05,2131.89,46.17,364.99,34645.94,8.09,2136.11,-223.33,86.91,-2.03,1698.63,41.21,310.24,-123342.28,10.71,1702.76,-140.62,136.72,-2.52,2369.13,48.67,277.34,-28814.85,3.69,2375.48,-31.67,36.5,-1.76,192.78,13.88,68.16,2100.12,3.69,195.87,0.0,84.07,48.8,404.78,20.12,84.07,191.18,1.73,2786.28,-19.01,53.34,-0.31,325.9,18.05,72.35,12097.88,6.32,326.0
8.0,-0.38,1.35,0.57,0.15,0.38,1.73,-0.01,2.41,0.47,-0.77,0.69,0.31,0.06,0.24,1.46,-0.02,8.45,0.16,-0.32,2.05,0.54,0.15,0.38,2.37,0.03,4.92,0.44,-164.25,200.74,1.35,2170.28,46.59,364.99,36757.28,7.86,2172.1,-223.33,86.91,-2.16,1699.22,41.22,310.24,-122717.59,10.68,1703.87,-140.62,136.72,-2.21,2409.68,49.09,277.34,-26902.78,3.63,2414.58,-31.67,36.5,-1.58,193.8,13.92,68.16,2017.26,3.62,196.31,0.0,84.07,48.57,401.98,20.05,84.07,413.38,1.75,2761.1,-19.01,54.38,0.36,354.03,18.82,73.39,13044.86,5.78,354.16
9.0,-0.38,1.35,0.58,0.15,0.39,1.73,-0.01,2.37,0.48,-0.77,0.69,0.31,0.06,0.24,1.46,-0.02,8.2,0.16,-0.32,2.05,0.53,0.15,0.39,2.37,0.03,4.84,0.43,-164.25,200.74,1.42,2169.18,46.57,364.99,36310.22,7.87,2171.19,-223.33,86.91,-1.8,1706.41,41.31,310.24,-124294.83,10.66,1709.66,-140.62,136.72,-3.07,2443.37,49.43,277.34,-23240.22,3.55,2452.78,-31.67,36.5,-1.37,196.13,14.0,68.16,1937.44,3.51,198.02,0.0,84.07,48.38,398.49,19.96,84.07,581.56,1.78,2738.78,-19.01,54.55,0.99,382.13,19.55,73.56,13916.45,5.31,383.11
