Seq,Ax_min,Ax_max,Ax_sum,Ax_mean,Ax_variance,Ax_stdDev,Ax_range,Ax_skewness,Ax_kurtosis,Ax_energy,Ay_min,Ay_max,Ay_sum,Ay_mean,Ay_variance,Ay_stdDev,Ay_range,Ay_skewness,Ay_kurtosis,Ay_energy,Az_min,Az_max,Az_sum,Az_mean,Az_variance,Az_stdDev,Az_range,Az_skewness,Az_kurtosis,Az_energy,Gx_min,Gx_max,Gx_sum,Gx_mean,Gx_variance,Gx_stdDev,Gx_range,Gx_skewness,Gx_kurtosis,Gx_energy,Gy_min,Gy_max,Gy_sum,Gy_mean,Gy_variance,Gy_stdDev,Gy_range,Gy_skewness,Gy_kurtosis,Gy_energy,Gz_min,Gz_max,Gz_sum,Gz_mean,Gz_variance,Gz_stdDev,Gz_range,Gz_skewness,Gz_kurtosis,Gz_energy,Mx_min,Mx_max,Mx_sum,Mx_mean,Mx_variance,Mx_stdDev,Mx_range,Mx_skewness,Mx_kurtosis,Mx_energy,My_min,My_max,My_sum,My_mean,My_variance,My_stdDev,My_range,My_skewness,My_kurtosis,My_energy,Mz_min,Mz_max,Mz_sum,Mz_mean,Mz_variance,Mz_stdDev,Mz_range,Mz_skewness,Mz_kurtosis,Mz_energy
0.0,-0.03162,0.0,-2.5293,-0.02529,1e-05,0.00229,0.03162,0.0,18.48265,0.00064,0.0,0.00659,0.44189,0.00442,0.0,0.00069,0.00659,0.0,3.07376,2e-05,0.0,0.96899,96.34595,0.96346,1e-05,0.00338,0.96899,-0.0,12.05609,0.92827,0.0,1.2207,105.59082,1.05591,0.00853,0.09236,1.2207,-0.00022,2.859,1.12347,0.0,2.92969,273.68164,2.73682,0.0084,0.09164,2.92969,-0.00013,2.69283,7.49856,0.0,1.95312,170.53223,1.70532,0.00878,0.09369,1.95312,0.0001,2.91951,2.9169,-20.73975,0.0,-1988.58643,-19.88586,0.1202,0.34669,20.73975,-0.00376,2.69945,395.56769,0.0,30.87158,3024.59717,30.24597,0.11108,0.33329,30.87158,-0.0087,2.57607,914.92993,0.0,8.76465,733.74023,7.3374,0.37128,0.60933,8.76465,0.04784,2.3796,54.20876
1.0,-0.03162,0.0,-2.526,-0.02526,1e-05,0.00225,0.03162,0.0,19.62868,0.00064,0.0,0.00659,0.44385,0.00444,0.0,0.0007,0.00659,0.0,3.00815,2e-05,0.0,0.96899,96.3667,0.96367,1e-05,0.00288,0.96899,-0.0,8.77974,0.92866,0.0,1.2207,105.52979,1.0553,0.00844,0.09188,1.2207,-0.00021,2.89687,1.12209,0.0,2.92969,273.55957,2.7356,0.00822,0.09069,2.92969,-0.00012,2.75357,7.4917,0.0,1.95312,170.59326,1.70593,0.00889,0.09431,1.95312,0.0001,2.87007,2.9191,-20.73975,0.0,-1988.64746,-19.88647,0.11998,0.34638,20.73975,-0.0036,2.70762,395.59171,0.0,30.87158,3024.69482,30.24695,0.11056,0.33251,30.87158,-0.00881,2.59692,914.98853,0.0,8.76465,731.92139,7.31921,0.37387,0.61145,8.76465,0.05286,2.40377,53.94478
2.0,-0.03162,0.0,-2.52832,-0.02528,0.0,0.00224,0.03162,0.0,20.10463,0.00064,0.0,0.00659,0.44348,0.00443,0.0,0.00071,0.00659,0.0,2.97738,2e-05,0.0,0.96899,96.38049,0.9638,1e-05,0.00252,0.96899,-0.0,6.10574,0.92893,0.0,1.2207,105.34668,1.05347,0.00817,0.09037,1.2207,-0.00021,2.95654,1.11796,0.0,2.92969,273.62061,2.73621,0.00835,0.09137,2.92969,-0.00012,2.71687,7.49517,0.0,1.95312,170.6543,1.70654,0.00886,0.09413,1.95312,8e-05,2.88779,2.92115,-20.73975,0.0,-1988.87939,-19.88879,0.11977,0.34608,20.73975,-0.00281,2.71457,395.68375,0.0,30.87158,3024.69482,30.24695,0.11056,0.33251,30.87158,-0.00881,2.59692,914.98853,0.0,8.76465,731.9458,7.31946,0.3737,0.61131,8.76465,0.05267,2.4053,53.94818
3.0,-0.03162,0.0,-2.5293,-0.02529,0.0,0.00223,0.03162,0.0,20.32345,0.00064,0.0,0.00659,0.44202,0.00442,0.0,0.0007,0.00659,0.0,3.01345,2e-05,0.0,0.96899,96.39124,0.96391,1e-05,0.00231,0.96899,-0.0,5.21167,0.92913,0.0,1.2207,105.40771,1.05408,0.00826,0.09088,1.2207,-0.00021,2.9165,1.11934,0.0,2.92969,273.68164,2.73682,0.00832,0.09123,2.92969,-0.00013,2.73664,7.49848,0.0,1.95312,170.77637,1.70776,0.00916,0.09572,1.95312,0.00011,2.83209,2.92562,-20.73975,0.0,-1988.96484,-19.88965,0.11898,0.34494,20.73975,-0.00305,2.72602,395.71695,0.0,30.87158,3024.56055,30.24561,0.11126,0.33356,30.87158,-0.00865,2.56878,914.90802,0.0,8.76465,731.87256,7.31873,0.37513,0.61248,8.76465,0.05142,2.40728,53.93888
4.0,-0.03162,0.0,-2.53064,-0.02531,0.0,0.00223,0.03162,0.0,20.56565,0.00065,0.0,0.00659,0.4425,0.00443,0.0,0.00071,0.00659,0.0,2.95604,2e-05,0.0,0.96899,96.39905,0.96399,0.0,0.0022,0.96899,-0.0,5.40971,0.92928,0.0,1.2207,105.52979,1.0553,0.00852,0.09228,1.2207,-0.0002,2.86181,1.12217,0.0,2.92969,273.62061,2.73621,0.0085,0.09218,2.92969,-0.00016,2.72322,7.49532,0.0,1.95312,170.71533,1.70715,0.00912,0.09552,1.95312,0.00013,2.85805,2.9235,-20.73975,0.0,-1988.76953,-19.8877,0.1178,0.34322,20.73975,-0.00319,2.76552,395.63809,0.0,30.87158,3024.86572,30.24866,0.11057,0.33251,30.87158,-0.00947,2.60615,915.09198,0.0,8.76465,731.23779,7.31238,0.39129,0.62553,8.76465,0.02721,2.58247,53.86217
5.0,-0.03162,0.0,-2.53357,-0.02534,0.0,0.00221,0.03162,0.0,21.19948,0.00065,0.0,0.00659,0.44189,0.00442,0.0,0.00071,0.00659,0.0,2.98441,2e-05,0.0,0.96899,96.40308,0.96403,0.0,0.00216,0.96899,-0.0,5.76175,0.92936,0.0,1.2207,105.59082,1.05591,0.00868,0.09317,1.2207,-0.00018,2.84376,1.12362,0.0,2.92969,273.92578,2.73926,0.00874,0.09348,2.92969,-0.00015,2.75604,7.51227,0.0,1.95312,170.95947,1.70959,0.00913,0.09553,1.95312,9e-05,2.84436,2.93184,-20.73975,0.0,-1987.78076,-19.87781,0.12222,0.3496,20.73975,-0.00286,2.75124,395.2493,0.0,30.87158,3024.67041,30.2467,0.11237,0.33522,30.87158,-0.01009,2.58091,914.97565,0.0,8.76465,730.79834,7.30798,0.39438,0.628,8.76465,0.03055,2.55222,53.80101
6.0,-0.03162,0.0,-2.52686,-0.02527,0.0,0.00215,0.03162,0.0,23.09197,0.00064,0.0,0.00659,0.44153,0.00442,0.0,0.00071,0.00659,0.0,2.98233,2e-05,0.0,0.96899,96.40979,0.9641,0.0,0.00213,0.96899,-0.0,6.02116,0.92949,0.0,1.2207,105.46875,1.05469,0.00872,0.0934,1.2207,-0.00016,2.80935,1.12109,0.0,2.92969,273.86475,2.73865,0.00877,0.09363,2.92969,-0.00013,2.73507,7.50895,0.0,1.95312,170.8374,1.70837,0.00898,0.09475,1.95312,0.00011,2.91822,2.92752,-20.73975,0.0,-1986.52344,-19.86523,0.11619,0.34087,20.73975,-0.00022,2.64585,394.74362,0.0,30.87158,3024.32861,30.24329,0.11143,0.33381,30.87158,-0.00924,2.60689,914.76788,0.0,8.76465,730.00488,7.30005,0.40985,0.6402,8.76465,0.01626,2.57156,53.70057
7.0,-0.03162,0.0,-2.52625,-0.02526,0.0,0.00214,0.03162,0.0,23.21336,0.00064,0.0,0.00659,0.44299,0.00443,0.0,0.00071,0.00659,0.0,2.99599,2e-05,0.0,0.96899,96.41626,0.96416,0.0,0.00208,0.96899,-0.0,6.45367,0.92961,0.0,1.2207,105.59082,1.05591,0.00883,0.09396,1.2207,-0.00018,2.76809,1.12377,0.0,2.92969,273.80371,2.73804,0.00872,0.09337,2.92969,-0.00012,2.75769,7.50556,0.0,1.95312,170.89844,1.70898,0.00887,0.09416,1.95312,0.00011,2.96236,2.92949,-20.73975,0.0,-1986.08398,-19.86084,0.1146,0.33853,20.73975,-0.0011,2.70105,394.5675,0.0,30.87158,3023.69385,30.23694,0.11441,0.33825,30.87158,-0.00878,2.5263,914.38702,0.0,8.76465,730.33447,7.30334,0.41117,0.64122,8.76465,0.01268,2.55505,53.75001
8.0,-0.03162,0.0,-2.5293,-0.02529,0.0,0.00215,0.03162,0.0,22.98825,0.00064,0.0,0.00659,0.44275,0.00443,0.0,0.00071,0.00659,0.0,2.99706,2e-05,0.0,0.96899,96.42163,0.96422,0.0,0.00201,0.96899,-0.0,7.00524,0.92972,0.0,1.2207,105.46875,1.05469,0.00887,0.09419,1.2207,-0.00015,2.73545,1.12124,0.0,2.92969,273.80371,2.73804,0.00872,0.09337,2.92969,-0.00012,2.75769,7.50556,0.0,1.95312,170.77637,1.70776,0.00916,0.09572,1.95312,8e-05,2.90985,2.92562,-20.73975,0.0,-1985.99854,-19.85999,0.11497,0.33907,20.73975,-0.00127,2.68686,394.53394,0.0,30.87158,3023.71826,30.23718,0.11435,0.33816,30.87158,-0.00885,2.52946,914.40161,0.0,8.76465,731.09131,7.31091,0.41032,0.64056,8.76465,0.00451,2.56263,53.85977
9.0,-0.03162,0.0,-2.53149,-0.02531,0.0,0.00215,0.03162,0.0,23.33815,0.00065,0.0,0.00659,0.44177,0.00442,0.0,0.00071,0.00659,0.0,2.94289,2e-05,0.0,0.96899,96.42603,0.96426,0.0,0.00198,0.96899,-0.0,7.44764,0.9298,0.0,1.2207,105.52979,1.0553,0.00881,0.09388,1.2207,-0.00016,2.77194,1.12247,0.0,2.92969,273.98682,2.73987,0.00863,0.09292,2.92969,-0.00015,2.80486,7.51551,0.0,1.95312,170.6543,1.70654,0.00916,0.0957,1.95312,0.00011,2.918,2.92145,-20.73975,0.0,-1985.64453,-19.85645,0.1156,0.34,20.73975,-0.0023,2.66327,394.39398,0.0,30.87158,3023.80371,30.23804,0.1144,0.33824,30.87158,-0.00914,2.52959,914.45337,0.0,8.76465,731.39648,7.31396,0.40871,0.63931,8.76465,0.00146,2.58079,53.9028
