Ax_max,Ax_sum,Ax_mean,Ax_variance,Ax_stdDev,Ax_range,Ax_skewness,Ax_kurtosis,Ax_energy,Ay_min,Ay_max,Ay_sum,Ay_mean,Ay_variance,Ay_stdDev,Ay_range,Ay_skewness,Ay_kurtosis,Ay_energy,Az_min,Az_max,Az_sum,Az_mean,Az_variance,Az_stdDev,Az_range,Az_skewness,Az_kurtosis,Az_energy,Gx_min,Gx_max,Gx_sum,Gx_mean,Gx_variance,Gx_stdDev,Gx_range,Gx_skewness,Gx_kurtosis,Gx_energy,Gy_min,Gy_max,Gy_sum,Gy_mean,Gy_variance,Gy_stdDev,Gy_range,Gy_skewness,Gy_kurtosis,Gy_energy,Gz_min,Gz_max,Gz_sum,Gz_mean,Gz_variance,Gz_stdDev,Gz_range,Gz_skewness,Gz_kurtosis,Gz_energy,Mx_min,Mx_max,Mx_sum,Mx_mean,Mx_variance,Mx_stdDev,Mx_range,Mx_skewness,Mx_kurtosis,Mx_energy,My_min,My_max,My_sum,My_mean,My_variance,My_stdDev,My_range,My_skewness,My_kurtosis,My_energy,Mz_min,Mz_max,Mz_sum,Mz_mean,Mz_variance,Mz_stdDev,Mz_range,Mz_skewness,Mz_kurtosis,Mz_energy
0.65332,-10.59338,-0.10593,0.08035,0.28346,1.50317,0.00022,2.80828,0.09157,-0.23657,1.89062,89.52502,0.89525,0.22816,0.47766,2.1272,-0.07354,3.005,1.02963,-0.63538,0.98926,6.26562,0.06266,0.14214,0.37702,1.62463,0.07879,4.13936,0.14607,-167.17529,111.87744,114.9292,1.14929,1702.64172,41.26308,279.05273,-40105.19922,4.84352,1703.96265,-109.31396,93.81104,-228.8208,-2.28821,1589.02161,39.86253,203.125,-27020.81445,3.33102,1594.25745,-134.15527,127.13623,467.10205,4.67102,4521.83447,67.24458,261.2915,-59749.41406,2.10159,4543.65088,-34.57031,40.08789,1989.03809,19.89038,587.86627,24.24595,74.6582,-20720.98828,3.39691,983.49384,0.0,57.66602,3800.57373,38.00574,80.14687,8.95248,57.66602,-53.2014,2.00102,1524.58301,0.0,44.77539,2012.82959,20.1283,65.84142,8.11427,44.77539,420.48434,3.76147,470.98972
0.65332,-11.29004,-0.1129,0.08548,0.29236,1.50317,-0.00172,2.83886,0.09822,-0.23657,1.89062,91.12878,0.91129,0.21852,0.46746,2.1272,-0.06962,3.07611,1.04896,-0.63538,0.98926,5.40344,0.05403,0.13452,0.36677,1.62463,0.07571,4.44788,0.13744,-167.17529,111.87744,69.88525,0.69885,1721.28943,41.48843,279.05273,-38599.24219,4.72699,1721.77783,-109.31396,93.81104,-205.2002,-2.052,1594.87622,39.9359,203.125,-28007.12305,3.31818,1599.08716,-134.15527,127.13623,346.19141,3.46191,4663.83984,68.29231,261.2915,-60016.98438,2.05498,4675.82324,-34.57031,40.08789,2053.36914,20.53369,565.41071,23.77837,74.6582,-20580.45703,3.65021,987.04346,0.0,57.66602,3803.96729,38.03967,80.1081,8.95031,57.66602,-61.22797,2.00413,1527.125,0.0,44.77539,2027.67334,20.27673,63.32282,7.95756,44.77539,431.95197,3.84392,474.46872
0.65332,-11.5498,-0.1155,0.08631,0.29379,1.50317,-0.0013,2.79157,0.09965,-0.23657,1.89062,92.82849,0.92828,0.2081,0.45618,2.1272,-0.06343,3.10364,1.06981,-0.63538,0.98926,4.33875,0.04339,0.12781,0.35751,1.62463,0.07372,4.80762,0.1297,-167.17529,111.87744,70.86182,0.70862,1721.354,41.4892,279.05273,-38649.34766,4.72715,1721.85657,-109.31396,93.81104,-228.39355,-2.28394,1597.60791,39.97009,203.125,-26951.76953,3.29722,1602.82434,-134.15527,127.13623,399.35303,3.99353,4693.19922,68.50693,261.2915,-65886.84375,2.03934,4709.14648,-34.57031,40.08789,2120.78857,21.20789,542.00104,23.28092,74.6582,-20324.69336,3.931,991.77563,0.0,57.66602,3814.96582,38.14966,80.8191,8.98994,57.66602,-81.00442,1.98267,1536.21558,0.0,44.77539,2037.98828,20.37988,61.23062,7.825,44.77539,447.25113,3.91825,476.57022
0.65332,-11.40967,-0.1141,0.08644,0.29401,1.50317,-0.00165,2.78454,0.09946,-0.23657,1.89062,93.87646,0.93876,0.1948,0.44136,2.1272,-0.05424,3.13252,1.07608,-0.63538,0.98926,3.30774,0.03308,0.11997,0.34637,1.62463,0.07034,5.21596,0.12107,-167.17529,111.87744,110.77881,1.10779,1737.97583,41.68904,279.05273,-40042.54688,4.66711,1739.20325,-109.31396,93.81104,-221.61865,-2.21619,1598.90942,39.98637,203.125,-27257.08594,3.29483,1603.8208,-134.15527,127.13623,484.25293,4.84253,4757.87988,68.97739,261.2915,-72697.14844,2.01325,4781.33008,-34.57031,40.08789,2177.64893,21.77649,515.90802,22.71361,74.6582,-19869.39844,4.24877,990.12378,0.0,57.66602,3801.02539,38.01025,83.21004,9.12195,57.66602,-84.23248,1.94805,1527.9895,0.0,44.77539,2045.91064,20.45911,59.35009,7.7039,44.77539,467.64313,3.96219,477.92511
0.65332,-11.75903,-0.11759,0.08793,0.29653,1.50317,-0.00131,2.71763,0.10176,-0.23657,1.89062,95.52893,0.95529,0.18504,0.43016,2.1272,-0.04805,3.13152,1.09761,-0.63538,0.98926,2.17419,0.02174,0.11159,0.33406,1.62463,0.06599,5.66083,0.11207,-167.17529,111.87744,82.27539,0.82275,1752.35669,41.86116,279.05273,-39152.3125,4.58398,1753.03406,-109.31396,93.81104,-262.02393,-2.62024,1617.3252,40.21598,203.125,-26102.2207,3.2168,1624.19104,-159.97314,127.13623,320.80078,3.20801,5026.83105,70.90015,287.10937,-92814.21875,2.0684,5037.12305,-34.57031,40.08789,2242.45605,22.42456,490.3873,22.14469,74.6582,-19413.48828,4.60916,993.2486,0.0,57.66602,3800.80566,38.00806,83.21764,9.12237,57.66602,-83.7037,1.94759,1527.8302,0.0,44.77539,2051.69678,20.51697,57.83663,7.60504,44.77539,487.64709,3.97686,478.78259
0.65332,-11.91235,-0.11912,0.08836,0.29726,1.50317,-0.00101,2.693,0.10255,-0.23657,1.89062,96.95203,0.96952,0.17365,0.41671,2.1272,-0.04166,3.13714,1.11362,-0.63538,0.98926,1.12183,0.01122,0.10369,0.32201,1.62463,0.06202,6.19305,0.10382,-167.17529,111.87744,99.3042,0.99304,1753.45105,41.87423,279.05273,-40030.19922,4.58709,1754.43713,-109.31396,93.81104,-254.27246,-2.54272,1617.46558,40.21773,203.125,-26476.98047,3.21936,1623.93091,-159.97314,127.13623,357.05566,3.57056,5042.51953,71.0107,287.10937,-97661.96094,2.06196,5055.26855,-34.57031,40.08789,2310.19287,23.10193,464.35324,21.54886,74.6582,-18856.19922,5.01484,998.05267,0.0,57.66602,3811.52344,38.11523,83.90578,9.16001,57.66602,-104.18021,1.92912,1536.67725,0.0,44.77539,2056.04248,20.56042,56.94165,7.54597,44.77539,494.19327,4.0154,479.67273
0.65332,-11.62085,-0.11621,0.08836,0.29726,1.50317,-0.00172,2.69516,0.10187,-0.23657,1.89062,97.86865,0.97869,0.16261,0.40325,2.1272,-0.0344,3.15253,1.12044,-0.63538,0.98926,0.23279,0.00233,0.09584,0.30957,1.62463,0.05772,6.80996,0.09584,-167.17529,111.87744,150.08545,1.50085,1776.29761,42.14614,279.05273,-41620.57813,4.5128,1778.55078,-109.31396,93.81104,-271.24023,-2.7124,1618.70703,40.23316,203.125,-25672.3457,3.20775,1626.06433,-159.97314,127.13623,425.04883,4.25049,5080.19629,71.2755,287.10937,-105634.54687,2.04782,5098.26172,-34.57031,40.08789,2372.48535,23.72485,434.97867,20.85614,74.6582,-18053.38281,5.48431,997.84735,0.0,57.66602,3801.58691,38.01587,85.14865,9.2276,57.66602,-93.0948,1.88968,1530.35535,0.0,44.77539,2059.04541,20.59045,56.39363,7.50957,44.77539,496.65753,4.04564,480.36038
0.65332,-11.50256,-0.11503,0.08818,0.29695,1.50317,-0.00201,2.7071,0.10141,-0.23657,1.89062,99.42725,0.99427,0.15535,0.39414,2.1272,-0.02983,3.13892,1.14392,-0.63538,0.98926,-0.92285,-0.00923,0.08748,0.29577,1.62463,0.05251,7.49169,0.08757,-167.17529,111.87744,59.99756,0.59998,1856.48999,43.08701,279.05273,-43892.875,4.27322,1856.84985,-109.31396,93.81104,-305.78613,-3.05786,1629.19629,40.3633,203.125,-24331.23242,3.15774,1638.54688,-159.97314,127.13623,274.41406,2.74414,5310.65332,72.87423,287.10937,-117143.78125,2.03845,5318.18262,-34.57031,40.08789,2438.20801,24.38208,404.94968,20.12336,74.6582,-17142.76172,6.02346,999.43585,0.0,57.66602,3801.13525,38.01135,85.16205,9.22833,57.66602,-91.97108,1.88886,1530.02527,0.0,44.77539,2055.31006,20.5531,57.25929,7.56699,44.77539,487.84915,4.01941,479.68921
0.65332,-11.55591,-0.11556,0.08835,0.29724,1.50317,-0.00191,2.69705,0.10171,-0.23657,1.89062,100.52222,1.00522,0.14403,0.37951,2.1272,-0.02269,3.08861,1.1545,-0.63538,0.98926,-1.83948,-0.01839,0.07866,0.28046,1.62463,0.04649,8.3001,0.07899,-167.17529,111.87744,55.35889,0.55359,1856.66199,43.089,279.05273,-43635.23828,4.27007,1856.96875,-109.31396,93.81104,-315.00244,-3.15002,1630.41858,40.37844,203.125,-23894.73828,3.14972,1640.34131,-159.97314,127.13623,267.76123,2.67761,5311.3833,72.87923,287.10937,-116090.53906,2.0368,5318.55273,-34.57031,40.08789,2507.08008,25.0708,373.24451,19.31954,74.6582,-16035.41602,6.63755,1001.78992,0.0,57.66602,3815.271,38.15271,86.69545,9.31104,57.66602,-108.87496,1.86257,1542.3252,0.0,44.77539,2051.84326,20.51843,58.05766,7.61956,44.77539,479.9516,3.99377,479.06375
0.65332,-11.05969,-0.1106,0.08893,0.29822,1.50317,-0.00287,2.67746,0.10117,-0.23657,1.89062,101.47314,1.01473,0.13488,0.36726,2.1272,-0.01792,3.10421,1.16456,-0.63538,0.98926,-2.8053,-0.02805,0.06843,0.26158,1.62463,0.03825,9.07276,0.06921,-167.17529,111.87744,114.25781,1.14258,1855.48376,43.07533,279.05273,-46402.32422,4.30571,1856.78906,-109.31396,93.81104,-359.61914,-3.59619,1655.21216,40.6843,203.125,-22951.18945,3.06379,1668.14514,-159.97314,127.13623,344.9707,3.44971,5377.38672,73.33067,287.10937,-123087.27344,2.01502,5389.28711,-34.57031,40.08789,2573.0957,25.73096,339.36905,18.42197,74.6582,-14718.15918,7.35336,1001.45148,0.0,57.66602,3815.94238,38.15942,86.69869,9.31121,57.66602,-110.61923,1.86282,1542.84058,0.0,44.77539,2041.17432,20.41174,60.61942,7.78585,44.77539,449.7753,3.95796,477.2587
