Seq,Ax_min,Ax_max,Ax_sum,Ax_mean,Ax_variance,Ax_stdDev,Ax_range,Ax_skewness,Ax_kurtosis,Ax_energy,Ay_min,Ay_max,Ay_sum,Ay_mean,Ay_variance,Ay_stdDev,Ay_range,Ay_skewness,Ay_kurtosis,Ay_energy,Az_min,Az_max,Az_sum,Az_mean,Az_variance,Az_stdDev,Az_range,Az_skewness,Az_kurtosis,Az_energy,Gx_min,Gx_max,Gx_sum,Gx_mean,Gx_variance,Gx_stdDev,Gx_range,Gx_skewness,Gx_kurtosis,Gx_energy,Gy_min,Gy_max,Gy_sum,Gy_mean,Gy_variance,Gy_stdDev,Gy_range,Gy_skewness,Gy_kurtosis,Gy_energy,Gz_min,Gz_max,Gz_sum,Gz_mean,Gz_variance,Gz_stdDev,Gz_range,Gz_skewness,Gz_kurtosis,Gz_energy,Mx_min,Mx_max,Mx_sum,Mx_mean,Mx_variance,Mx_stdDev,Mx_range,Mx_skewness,Mx_kurtosis,Mx_energy,My_min,My_max,My_sum,My_mean,My_variance,My_stdDev,My_range,My_skewness,My_kurtosis,My_energy,Mz_min,Mz_max,Mz_sum,Mz_mean,Mz_variance,Mz_stdDev,Mz_range,Mz_skewness,Mz_kurtosis,Mz_energy
0.0,-0.9281,0.0,-69.26135,-0.69261,0.00828,0.09099,0.9281,9e-05,4.10637,0.48799,0.0,0.94727,63.78613,0.63786,0.01513,0.12302,0.94727,0.0003,2.32875,0.422,-0.73462,0.7478,-31.30176,-0.31302,0.03703,0.19242,1.48242,0.01142,10.73684,0.13501,-107.05566,93.32275,-78.125,-0.78125,760.16522,27.57109,200.37842,-7865.49268,6.17749,760.77576,-67.99316,97.10693,469.05518,4.69055,293.56921,17.13386,165.1001,5745.51123,12.91971,315.5705,-72.99805,102.96631,544.7998,5.448,499.39371,22.34712,175.96436,4128.93994,7.14851,529.0744,-20.6543,0.0,-1374.36523,-13.74365,8.15906,2.85641,20.6543,-2.16081,2.78138,197.04709,0.0,69.01855,6525.30518,65.25305,7.90096,2.81086,69.01855,-17.32063,2.71832,4265.86328,0.0,33.53271,2771.10596,27.71106,10.84584,3.2933,33.53271,-37.76296,4.76949,778.74866
1.0,-0.9281,0.0,-69.38647,-0.69386,0.00814,0.09024,0.9281,0.00011,4.22326,0.48959,0.0,0.94727,63.86536,0.63865,0.01507,0.12278,0.94727,0.00026,2.34143,0.42295,-0.73462,0.7478,-30.90576,-0.30906,0.03606,0.18989,1.48242,0.01132,11.10275,0.13157,-107.05566,93.32275,-65.49072,-0.65491,759.96881,27.56753,200.37842,-8148.30811,6.18766,760.39789,-67.99316,97.10693,485.47363,4.85474,294.73779,17.16793,165.1001,5617.92383,12.77666,318.30624,-72.99805,102.96631,537.71973,5.3772,499.96133,22.35982,175.96436,4230.77197,7.13715,528.87561,-20.6543,0.0,-1370.43457,-13.70435,7.80041,2.79292,20.6543,-0.4957,2.75558,195.60956,0.0,69.01855,6521.49658,65.21497,7.98648,2.82604,69.01855,-16.6951,2.63289,4260.97949,0.0,33.53271,2782.99561,27.82996,9.65002,3.10645,33.53271,-28.1965,4.63637,784.15643
2.0,-0.9281,0.0,-69.53796,-0.69538,0.00809,0.08994,0.9281,0.00013,4.28184,0.49164,0.0,0.94727,63.97583,0.63976,0.01491,0.12211,0.94727,0.00024,2.37569,0.4242,-0.73462,0.7478,-30.45386,-0.30454,0.03423,0.18502,1.48242,0.01163,11.85498,0.12698,-107.05566,93.32275,-50.96436,-0.50964,753.3111,27.44651,200.37842,-8241.52832,6.29235,753.57092,-67.99316,97.10693,472.96143,4.72961,296.95267,17.23232,165.1001,5694.67187,12.62478,319.32193,-72.99805,102.96631,537.8418,5.37842,499.97025,22.36001,175.96436,4228.99072,7.13682,528.89752,-20.6543,0.0,-1365.60059,-13.65601,7.40468,2.72115,20.6543,1.11392,2.73074,193.8912,0.0,69.01855,6515.58838,65.15588,8.00233,2.82884,69.01855,-15.79685,2.56685,4253.29297,0.0,33.53271,2795.93506,27.95935,8.32913,2.88602,33.53271,-16.15754,3.80344,790.05438
3.0,-0.9281,0.0,-69.69324,-0.69693,0.0081,0.09002,0.9281,0.00016,4.28319,0.49382,0.0,0.94727,64.03381,0.64034,0.01487,0.12195,0.94727,0.00021,2.38496,0.4249,-0.73462,0.7478,-30.16357,-0.30164,0.03366,0.18346,1.48242,0.01148,12.11364,0.12464,-107.05566,93.32275,-100.40283,-1.00403,736.02698,27.12982,200.37842,-7892.33057,6.50342,737.03516,-67.99316,97.10693,447.63184,4.47632,298.71243,17.2833,165.1001,5871.19727,12.54894,318.74991,-72.99805,102.96631,493.10303,4.93103,475.44681,21.80474,175.96436,3651.52832,7.6517,499.7616,-20.6543,0.0,-1362.07275,-13.62073,7.20895,2.68495,20.6543,1.26476,2.79641,192.73318,0.0,69.01855,6511.35254,65.11353,8.10299,2.84657,69.01855,-15.14295,2.48163,4247.87549,0.0,33.53271,2808.38623,28.08386,7.30917,2.70355,33.53271,-7.9866,2.93152,796.01245
4.0,-0.9281,0.0,-69.67126,-0.69671,0.00813,0.09018,0.9281,0.00016,4.25454,0.49354,0.0,0.94727,64.03003,0.6403,0.01487,0.12194,0.94727,0.00021,2.38577,0.42485,-0.73462,0.7478,-29.89392,-0.29894,0.03417,0.18485,1.48242,0.01133,11.67196,0.12353,-107.05566,93.32275,-120.78857,-1.20789,737.21857,27.15177,200.37842,-7468.23291,6.47138,738.67749,-67.99316,97.10693,433.28857,4.33289,300.2999,17.32916,165.1001,5979.52148,12.4572,319.07382,-72.99805,102.96631,467.04102,4.67041,481.71899,21.9481,175.96436,3868.25098,7.48764,503.53156,-20.6543,0.0,-1359.33838,-13.59338,7.09459,2.66357,20.6543,1.08792,2.85637,191.87466,0.0,69.01855,6507.40967,65.0741,8.24929,2.87216,69.01855,-14.7362,2.39127,4242.88867,0.0,33.53271,2817.21191,28.17212,6.94773,2.63586,33.53271,-7.04537,2.94511,800.61603
5.0,-0.9281,0.0,-69.73523,-0.69735,0.0081,0.09,0.9281,0.00017,4.2925,0.4944,0.0,0.94727,63.96277,0.63963,0.01483,0.12176,0.94727,0.00024,2.40177,0.42395,-0.73462,0.7478,-29.6781,-0.29678,0.0344,0.18547,1.48242,0.01115,11.44055,0.12248,-107.05566,93.32275,-63.59863,-0.63599,738.44757,27.17439,200.37842,-8264.57324,6.48655,738.85205,-67.99316,97.10693,440.91797,4.40918,298.79944,17.28582,165.1001,5934.20166,12.55853,318.2403,-72.99805,102.96631,450.07324,4.50073,486.54767,22.05783,175.96436,3999.41382,7.36223,506.80417,-20.6543,0.0,-1357.23877,-13.57239,7.01653,2.64887,20.6543,0.88433,2.90415,191.22623,0.0,69.01855,6501.94092,65.01941,8.39032,2.89661,69.01855,-14.05285,2.30343,4235.91504,0.0,33.53271,2825.50049,28.255,6.66897,2.58244,33.53271,-6.61176,2.99669,805.01422
6.0,-0.9281,0.0,-69.79724,-0.69797,0.00816,0.09032,0.9281,0.00018,4.24398,0.49532,0.0,0.94727,64.12244,0.64122,0.01469,0.1212,0.94727,0.00019,2.43005,0.42586,-0.73462,0.7478,-29.49719,-0.29497,0.03414,0.18478,1.48242,0.011,11.53751,0.12115,-107.05566,93.32275,-74.70703,-0.74707,737.76501,27.16183,200.37842,-8025.16943,6.49181,738.32318,-67.99316,97.10693,453.00293,4.53003,298.73709,17.28401,165.1001,5830.32178,12.53185,319.25818,-72.99805,102.96631,460.38818,4.60388,486.82361,22.06408,175.96436,3852.10864,7.34712,508.01923,-20.6543,0.0,-1355.05371,-13.55054,6.96769,2.63964,20.6543,0.53392,2.93881,190.58476,0.0,69.01855,6494.03076,64.94031,8.43696,2.90464,69.01855,-13.31411,2.23782,4225.68164,0.0,33.53271,2836.30371,28.36304,6.20853,2.49169,33.53271,-4.07491,2.7122,810.67029
7.0,-0.9281,0.0,-69.72827,-0.69728,0.00818,0.09046,0.9281,0.00017,4.21182,0.49439,0.0,0.94727,64.46484,0.64465,0.01439,0.11995,0.94727,0.00016,2.43037,0.42996,-0.73462,0.7478,-29.19275,-0.29193,0.03357,0.18322,1.48242,0.01085,11.78603,0.11879,-107.05566,93.32275,-64.45313,-0.64453,747.80865,27.34609,200.37842,-7513.14111,6.41139,748.22406,-67.99316,97.10693,488.40332,4.88403,322.84491,17.96789,165.1001,6842.47607,11.3253,346.69867,-72.99805,102.96631,396.72852,3.96729,514.38818,22.68013,175.96436,3268.0957,6.92374,530.12756,-20.6543,0.0,-1355.07813,-13.55078,6.96828,2.63975,20.6543,0.53798,2.93836,190.59193,0.0,69.01855,6486.71875,64.86719,8.38593,2.89585,69.01855,-12.47294,2.19195,4216.13916,0.0,33.53271,2845.84961,28.4585,5.84168,2.41696,33.53271,-2.56857,2.53167,815.72766
8.0,-0.9281,0.0,-69.84119,-0.69841,0.00795,0.08918,0.9281,0.00016,4.37192,0.49573,0.0,0.94727,64.41443,0.64414,0.01427,0.11945,0.94727,0.00016,2.45562,0.42919,-0.73462,0.7478,-29.02502,-0.29025,0.03401,0.18441,1.48242,0.01077,11.43849,0.11825,-107.05566,93.32275,-82.27539,-0.82275,751.96362,27.42196,200.37842,-7199.00244,6.33463,752.64044,-67.99316,97.10693,493.2251,4.93225,322.04489,17.94561,165.1001,6806.06641,11.36779,346.37198,-72.99805,102.96631,440.42969,4.4043,500.75418,22.37754,175.96436,3130.31055,7.20523,520.15186,-20.6543,0.0,-1353.67432,-13.53674,6.91276,2.62921,20.6543,0.41728,2.97496,190.15617,0.0,69.01855,6480.28564,64.80286,8.47512,2.91121,69.01855,-11.60415,2.12981,4207.88672,0.0,33.53271,2853.10059,28.53101,5.42339,2.32882,33.53271,-1.03103,2.34463,819.44165
9.0,-0.9281,0.0,-70.02954,-0.7003,0.00785,0.08862,0.9281,0.00018,4.47321,0.49827,0.0,0.94727,64.25171,0.64252,0.01423,0.11927,0.94727,0.00022,2.47381,0.42705,-0.73462,0.7478,-29.11279,-0.29113,0.0341,0.18466,1.48242,0.01086,11.41139,0.11885,-107.05566,93.32275,-22.82715,-0.22827,729.29388,27.00544,200.37842,-7346.32568,6.6608,729.34601,-67.99316,97.10693,472.41211,4.72412,326.93835,18.08144,165.1001,6899.85254,11.10598,349.25568,-72.99805,102.96631,398.80371,3.98804,476.09711,21.81965,175.96436,2464.53662,7.70637,492.00143,-20.6543,0.0,-1352.47803,-13.52478,6.88514,2.62396,20.6543,0.22179,2.99658,189.80482,0.0,69.01855,6473.63281,64.73633,8.596,2.93189,69.01855,-10.80138,2.06887,4199.38916,0.0,33.53271,2860.71777,28.60718,5.26461,2.29447,33.53271,-0.8992,2.32021,823.63525
