Mx,My,Mz,M_mag,km,label
33.85864,4.0332,6.02051,34.62543495105441,1,Closed
33.83301,4.08447,5.979,34.599189323465374,1,Closed
33.83545,4.08691,6.06079,34.61608997958464,1,Closed
33.83667,4.03564,6.01685,34.60359968010554,1,Closed
33.83545,4.03931,6.19873,34.63492392934479,1,Closed
33.77686,4.07227,6.12183,34.56785294115618,1,Closed
33.76099,4.0686,6.26099,34.57684120217172,1,Closed
33.69995,4.07349,6.12183,34.49285075680901,1,Closed
33.69385,4.13452,6.06323,34.483801146129466,1,Closed
33.67432,4.21875,5.98999,34.462119192310276,1,Closed
33.69141,4.20532,5.8313,34.449962028723625,1,Closed
33.69141,4.28345,5.70557,34.43853337056472,1,Closed
33.59985,4.40552,5.54932,34.338804273813906,1,Closed
33.51074,4.75342,5.34668,34.26589680814439,1,Closed
33.36792,5.08179,4.2627,34.020777269493706,1,Closed
33.19702,5.08789,2.97241,33.71593069663953,1,Closed
33.03589,5.0061,1.61011,33.45180891243701,1,Closed
32.96387,4.82788,0.40649,33.31801892056909,1,Closed
32.80396,4.58618,-0.94482,33.136468180939254,0,Open
32.69287,4.32373,-2.14478,33.04721578587522,0,Open
32.50488,4.14795,-3.3313,32.93736894026146,0,Open
32.31934,3.88062,-4.49585,32.860487166846745,0,Open
32.17163,3.55957,-5.67627,32.86189824941189,0,Open
32.05566,3.0603,-6.74927,32.90111578136067,0,Open
32.0105,2.62573,-7.14233,32.90257506809763,0,Open
32.00439,2.52441,-7.11304,32.882350329041266,0,Open
32.00684,2.46948,-7.0166,32.85983587627911,0,Open
31.98486,2.51099,-7.07642,32.854407010568615,0,Open
32.03125,2.50488,-7.13745,32.912286351443285,0,Open
31.97021,2.50854,-7.07153,32.83890431967242,0,Open
31.99463,2.57324,-7.08862,32.87136210197107,0,Open
31.9873,2.58789,-7.10083,32.86801367029958,0,Open
32.04224,2.65259,-7.14722,32.93666849658751,0,Open
32.05688,2.68921,-7.15454,32.955467655157015,0,Open
32.03003,2.63794,-7.14722,32.92361315185349,0,Open
32.05078,2.62695,-7.28027,32.97204416143773,0,Open
32.02637,2.61597,-7.43164,32.9812211342667,0,Open
32.052,2.62695,-7.42432,33.00533438347353,0,Open
32.02271,2.63184,-7.44019,32.980857550491315,0,Open
32.01294,2.62939,-7.50732,32.98638920521766,0,Open
32.03369,2.56226,-7.52686,33.005697883597314,0,Open
32.05444,2.5769,-7.5415,33.03031576557511,0,Open
32.04956,2.57446,-7.58179,33.03461336370232,0,Open
31.99707,2.59766,-7.49146,32.96486461358669,0,Open
32.0752,2.59399,-7.49512,33.04124790280325,0,Open
32.06787,2.65137,-7.27539,32.98953392920094,0,Open
32.0459,2.83325,-7.1521,32.95632787163188,0,Open
31.90308,3.14087,-6.91895,32.795479062605565,0,Open
31.86279,3.61938,-6.32812,32.68611939192078,0,Open
31.93726,4.10522,-5.53223,32.67180705637354,0,Open
31.93359,4.60693,-4.82422,32.62286120071935,0,Open
31.93359,5.07324,-4.39575,32.63149632560848,0,Open
31.88965,5.31372,-4.18213,32.59870562917798,0,Open
31.88477,5.40039,-4.25659,32.617806924026944,0,Open
31.84448,5.48828,-4.24561,32.59167574858495,0,Open
31.83594,5.45166,-4.47021,32.60721469066777,0,Open
31.87866,5.35278,-4.53003,32.640808643857156,0,Open
31.93604,5.03052,-4.74609,32.676324038056975,0,Open
31.96289,4.56909,-5.22217,32.707399469983855,0,Open
31.90186,4.09546,-6.05835,32.729269298193934,0,Open
31.9043,3.62061,-6.82983,32.827423796134234,0,Open
31.90308,3.14697,-7.3291,32.88503672610538,0,Open
31.94702,2.89307,-7.57446,32.95989055195572,0,Open
31.99341,2.74536,-7.46582,32.96746507134117,0,Open
32.00439,2.62695,-7.3645,32.9456781053995,0,Open
32.02759,2.56348,-7.26929,32.94207838043313,0,Open
32.04712,2.52319,-7.19971,32.94268070686719,0,Open
32.0459,2.49512,-7.27905,32.95678836790533,0,Open
32.06909,2.49634,-7.25342,32.97378274508553,0,Open
32.08374,2.58057,-7.28882,33.00231220543342,0,Open
32.08496,2.54272,-7.18872,32.97859576207574,0,Open
32.12646,2.50732,-7.21191,33.021322377550234,0,Open
32.11304,2.53418,-7.24854,33.018339425925106,0,Open
32.18506,2.49023,-7.30469,33.097399122175744,0,Open
32.16919,2.54395,-7.54639,33.140254508538405,0,Open
32.22534,2.52319,-7.53906,33.19151173983042,0,Open
32.23633,2.46094,-7.70264,33.235039649774755,1,Closed
32.23145,2.48901,-7.63428,33.2166188977897,0,Open
32.18628,2.45483,-7.68677,33.18236344204855,0,Open
32.23633,2.36084,-7.62695,33.21031321256998,0,Open
32.23389,2.35718,-7.60986,33.203763812316524,0,Open
32.19727,2.38281,-7.59521,33.166688015131996,0,Open
32.2168,2.33276,-7.49634,33.159600191395555,0,Open
32.16431,2.35229,-7.54883,33.12191027687111,0,Open
32.18872,2.37793,-7.40723,33.1154843328042,0,Open
32.15942,2.46094,-7.40356,33.092253188527366,0,Open
32.14844,2.62573,-7.08618,33.02469681100646,0,Open
32.17773,2.95898,-6.86157,33.033967570641586,0,Open
