Mx,My,Mz,M_mag,km,label
13.77563,70.25513,26.66748,76.39833612562646,0,Open
13.76831,70.23682,26.62964,76.36697565373464,0,Open
13.66211,70.23804,26.66138,76.36009884879734,0,Open
13.60352,70.29663,26.81641,76.45777783218264,0,Open
13.61816,70.3418,26.85913,76.51689992009936,0,Open
13.60107,70.33936,26.79443,76.4889282797151,0,Open
13.51685,70.34546,26.88843,76.51259141081944,0,Open
13.58521,70.35278,27.00806,76.57353909436405,0,Open
13.60718,70.33936,26.90186,76.52771383114485,0,Open
13.58032,70.3479,26.80664,76.49737298627973,0,Open
13.55713,70.29663,26.84814,76.46067345147699,0,Open
13.52905,70.31982,26.91772,76.5014766441361,0,Open
13.5083,70.38452,26.87988,76.54399240524889,0,Open
13.52051,70.354,26.70044,76.45523528741312,0,Open
13.47046,70.36377,26.78467,76.48484796502768,0,Open
13.4668,70.43579,26.87012,76.58040587499194,0,Open
13.51685,70.46021,26.89941,76.62195955151957,0,Open
13.44727,70.53711,26.76392,76.63302402601244,0,Open
13.42896,70.56763,26.93237,76.71688161229834,0,Open
13.43872,70.60547,27.05688,76.79717667006841,0,Open
13.38501,70.64209,26.99951,76.80128197177636,0,Open
13.35815,70.62622,26.90674,76.74943504898586,0,Open
13.35571,70.57129,26.73218,76.63740215730567,0,Open
13.37524,70.55176,26.81274,76.65096809866657,0,Open
13.34595,70.56885,26.75415,76.64112155982257,0,Open
13.32764,70.55298,26.68091,76.59778021116604,0,Open
13.33008,70.59448,26.66016,76.6292096429449,0,Open
13.42896,70.52734,26.5979,76.56298674011614,0,Open
13.51074,70.52979,26.54907,76.56268340814997,0,Open
13.54736,70.50537,26.54663,76.54581455679599,0,Open
13.61084,70.40894,26.68823,76.51754973835807,0,Open
13.64014,70.41626,26.67603,76.52524856652279,0,Open
13.65967,70.39673,26.94458,76.60480775106873,0,Open
13.64136,70.40405,27.08374,76.65732796960575,0,Open
13.68164,70.39795,27.07886,76.65718033029718,0,Open
13.65845,70.34058,27.02759,76.58225037400638,0,Open
13.6145,70.30884,27.0752,76.56209275768003,0,Open
13.56567,70.35034,27.23022,76.64647820945787,0,Open
13.55591,70.31128,27.11548,76.56819213483428,0,Open
13.52783,70.31128,27.01538,76.52783177571216,0,Open
13.54614,70.30762,26.99463,76.52038543944286,0,Open
13.55469,70.271,27.05444,76.5093836448164,0,Open
13.56812,70.29663,27.0105,76.5197829318752,0,Open
13.61694,70.26001,26.9458,76.47199616724869,0,Open
13.55225,70.20874,26.9165,76.40306685402165,0,Open
13.57544,70.18433,26.93359,76.39077836382216,0,Open
13.59863,70.20386,26.88965,76.39736889382382,0,Open
13.54126,70.19165,26.71143,76.31339295795333,0,Open
13.49976,70.24292,26.7981,76.38356821852459,0,Open
13.46069,70.26611,26.83472,76.41085385785581,0,Open
13.38745,70.36255,26.72607,76.44864339966995,0,Open
13.35937,70.37842,26.69434,76.44725342697997,0,Open
13.35327,70.40649,26.67236,76.46436059879531,0,Open
13.30688,70.47119,26.56982,76.48017396804809,0,Open
13.39233,70.51514,26.56128,76.53261440253364,0,Open
13.42651,70.56396,26.60156,76.59756272947135,0,Open
13.396,70.5835,26.47827,76.56750009268228,0,Open
13.40942,70.67017,26.42944,76.63289614309836,0,Open
13.36914,70.84839,26.4209,76.78731813744832,0,Open
13.31787,71.19873,26.45264,77.11269012243964,0,Open
13.0957,71.60645,26.66992,77.52590323820097,0,Open
12.76489,72.18628,27.02759,78.12996901419197,0,Open
12.27905,72.80396,27.38892,78.74861649165972,0,Open
11.81519,73.34473,27.90283,79.35752047234024,0,Open
11.43677,73.79395,28.05176,79.76996931009188,0,Open
11.24268,74.08569,28.07617,80.02098873562736,0,Open
11.23413,74.16992,28.14575,80.12219388362878,0,Open
11.18774,74.10278,28.26904,80.09697967188026,0,Open
11.22925,73.91357,28.2251,79.91225285097023,0,Open
11.28662,73.54858,28.07373,79.52933878232422,0,Open
11.51855,73.08228,27.8833,79.06437290582213,0,Open
11.92993,72.55981,27.53174,78.51908025740367,0,Open
12.3645,71.90674,27.18628,77.86240387963886,0,Open
12.82227,71.28784,26.65649,77.18118422866159,0,Open
13.19092,70.8606,26.42456,76.76901962380398,0,Open
13.34473,70.58838,26.44653,76.55207481733072,0,Open
13.3667,70.46753,26.52588,76.47198024744291,0,Open
13.38745,70.47485,26.66016,76.52902999026318,0,Open
13.36548,70.46631,26.71631,76.53690691857491,0,Open
13.37402,70.4895,26.88599,76.61912606843347,0,Open
13.42529,70.50293,26.98975,76.67690757478094,0,Open
13.33496,70.44067,27.03369,76.61938098984224,0,Open
13.32397,70.48706,26.88599,76.60816054627992,0,Open
13.32031,70.46631,27.05688,76.648589411982,0,Open
13.26538,70.41626,27.07397,76.59908504997236,0,Open
13.25928,70.42725,27.03369,76.59390604804666,0,Open
13.22998,70.46509,26.99341,76.60943455565118,0,Open
13.28125,70.44189,26.96289,76.5862187700026,0,Open
13.302,70.44678,27.01782,76.61367119464254,0,Open
13.2959,70.43335,26.86035,76.54486364972506,0,Open
13.23364,70.40161,26.80542,76.48559641931348,0,Open
13.24585,70.43579,26.80786,76.52002622141605,0,Open
13.31909,70.41138,26.77368,76.49830411633253,0,Open
13.32397,70.44922,26.74316,76.52331266976685,0,Open
13.36792,70.48096,26.89453,76.61320220150635,0,Open
13.34961,70.52856,26.85791,76.6409628879609,0,Open
13.32275,70.63599,26.87744,76.74200630551823,0,Open
13.16528,70.91675,26.81396,76.95127340676372,0,Open
12.85645,71.42456,26.94092,77.4116867678421,0,Open
12.44751,72.04102,27.46826,78.09836346088247,0,Open
12.03003,72.67456,27.8186,78.74127125564141,0,Open
11.77856,73.00293,27.8418,79.01473338244267,0,Open
11.70898,73.13477,27.81006,79.1150695682997,0,Open
11.69434,73.21899,27.67822,79.14456359740763,0,Open
11.69678,73.26904,27.57324,79.1545984070894,0,Open
11.70288,73.20923,27.53906,79.0882328995338,0,Open
11.75537,73.06274,27.49023,78.94343193450231,0,Open
11.87012,72.76733,27.44263,78.67071885689236,0,Open
12.14355,72.24121,27.34131,78.19082722022257,0,Open
12.56592,71.59912,26.94702,77.52727402083218,0,Open
13.00537,70.98999,26.46606,76.87113021779113,0,Open
13.26782,70.6897,26.50146,76.65113251462108,0,Open
