Mx,My,Mz,M_mag,km,label
19.87549,71.86157,24.50684,78.48379165401352,0,Open
20.37109,71.87988,25.49561,78.94127301909059,0,Open
20.85449,71.9397,26.61011,79.48791193296123,1,Closed
21.1792,72.14478,27.60254,80.09574276039895,1,Closed
21.68945,72.07397,28.58032,80.51039736683579,1,Closed
22.1582,72.03857,29.73755,81.02384386640392,1,Closed
22.34985,72.30835,30.53711,81.61206014981549,1,Closed
22.24854,72.66235,30.82642,82.0066022322014,1,Closed
22.24121,72.53418,30.5896,81.80221463197987,1,Closed
22.26318,72.11426,30.23193,81.30243090206405,1,Closed
22.16064,71.82617,29.35059,80.69417448258952,1,Closed
21.62231,71.78223,28.32886,80.14198114851293,1,Closed
21.11206,71.72852,27.25464,79.583384323385,1,Closed
20.66895,71.57471,26.23901,78.98500016754257,0,Open
20.15747,71.58569,25.2124,78.52706363628403,0,Open
19.66797,71.64551,24.10278,78.10795190509991,0,Open
19.40674,71.33667,23.30078,77.51431088982795,0,Open
19.56299,70.89355,22.8894,77.02292283276843,0,Open
19.60205,70.67261,22.92603,76.84049075829422,0,Open
19.64844,70.6189,22.84302,76.77821171637171,0,Open
19.65088,70.54443,22.77344,76.68965548385844,0,Open
19.63989,70.53833,22.6355,76.6403753817203,0,Open
19.67163,70.54565,22.6355,76.65525175113183,0,Open
19.73999,70.54321,22.66479,76.67923048680328,0,Open
19.75098,70.625,22.67822,76.76127603374503,0,Open
19.646,70.64453,22.65137,76.74437762988114,0,Open
19.65332,70.82031,22.58789,76.88941455213845,0,Open
19.62402,71.18042,22.93701,77.31662680224028,0,Open
19.62402,71.59424,23.24951,77.79059761550943,0,Open
19.66431,72.05811,23.86841,78.4140121437253,0,Open
20.03052,72.28882,25.01831,79.07471823357261,0,Open
20.65796,72.2229,26.13159,79.5346376850973,1,Closed
20.87402,72.47681,26.89697,80.0753376135087,1,Closed
20.99976,72.87964,27.53418,80.6880593078034,1,Closed
20.89966,73.25195,27.85767,81.10914710898518,1,Closed
20.88379,73.45581,27.96387,81.32568310747288,1,Closed
20.84473,73.41797,27.86865,81.24877070157,1,Closed
20.77515,73.11768,27.56714,80.8563491253748,1,Closed
20.77881,72.73193,27.14844,80.3662266189884,1,Closed
20.73608,72.30713,26.54785,79.76900652650627,1,Closed
20.29907,72.13257,25.44922,79.13799780306677,0,Open
19.60083,72.25586,24.37378,78.73489056648837,0,Open
19.27612,72.09961,23.48999,78.24130746994582,0,Open
19.07471,71.74316,22.83691,77.66884849614934,0,Open
19.15405,71.36475,22.44263,77.22355091085815,0,Open
19.18823,71.12793,22.34009,76.98344119241423,0,Open
19.24683,70.99243,22.48535,76.91525561926125,0,Open
19.23584,70.94116,22.47681,76.86268737448164,0,Open
19.22729,70.92163,22.53418,76.8593231226596,0,Open
19.18579,70.896,22.63794,76.85579796845323,0,Open
19.21509,70.86548,22.65869,76.84108388000914,0,Open
19.24194,70.91431,22.70752,76.90723686552586,0,Open
19.21021,71.00586,22.92847,77.0491989518684,0,Open
19.15649,71.35376,23.16772,77.4278594903417,0,Open
19.19189,71.78711,23.79272,78.02442777055529,0,Open
19.91577,71.51367,24.85718,78.28615643339633,0,Open
20.15991,71.72974,25.82275,78.856781504435,0,Open
20.19409,72.18506,26.38428,79.46454800255331,1,Closed
20.11841,72.4292,26.49658,79.70450542638415,1,Closed
20.14282,72.60742,26.45996,79.86050412945313,1,Closed
20.05615,72.68433,26.44531,79.90378840435227,1,Closed
20.12695,72.64404,26.45996,79.88980001868637,1,Closed
20.21851,72.48413,26.26099,79.70179950450992,1,Closed
20.34912,72.10083,26.10107,79.33399162155023,0,Open
20.29785,71.66748,25.46753,78.71991799077156,0,Open
19.58374,71.93359,24.29688,78.41111286297433,0,Open
19.30054,71.78223,23.37891,77.92158122659345,0,Open
19.31396,71.38306,22.79175,77.3823893008461,0,Open
19.4043,71.14502,22.67456,77.1509974043369,0,Open
19.37256,70.97168,22.68066,76.98498412685164,0,Open
19.4458,70.86426,22.82959,76.9485065648171,0,Open
19.40918,70.8667,22.87109,76.95383158069843,0,Open
19.36157,70.92529,22.96631,77.0241426402469,0,Open
19.36401,70.91064,22.94556,77.00508082070495,0,Open
19.35059,70.89478,23.01147,77.00677188505826,0,Open
19.39941,70.94482,23.14453,77.10495355099698,0,Open
19.42749,70.91553,23.15308,77.0876441225661,0,Open
19.42871,70.86792,23.15552,77.04488927801052,0,Open
19.37988,70.93994,23.17017,77.10325293946359,0,Open
19.33716,71.10474,23.09692,77.22226052648033,0,Open
19.32251,71.427,23.09204,77.51398604807846,0,Open
19.28223,71.77124,23.22998,77.86236096928285,0,Open
19.29932,72.19849,23.75488,78.41798285187461,0,Open
19.39087,72.61108,24.63867,79.09133225260655,0,Open
19.90845,72.70874,25.64941,79.6291371743924,1,Closed
20.41504,72.66235,26.6626,80.04676885723808,1,Closed
21.03027,72.54028,27.71973,80.45338967392361,1,Closed
21.55762,72.47437,28.83423,80.92390318474634,1,Closed
22.21436,72.31323,29.81934,81.31343100176072,1,Closed
22.90405,72.03247,30.85693,81.64203800572534,1,Closed
23.30444,71.9043,31.74316,81.98142160873523,1,Closed
23.30566,72.052,32.0105,82.21506311063442,1,Closed
23.27393,71.79443,31.52222,81.7909918658418,1,Closed
23.11646,71.53931,30.62988,81.18148278408137,1,Closed
22.61841,71.40625,29.56665,80.52721156362674,1,Closed
22.0459,71.39771,28.60718,80.0126580461273,1,Closed
21.41235,71.50757,27.51831,79.5555069437905,1,Closed
20.87036,71.56006,26.48315,79.10607655329456,0,Open
20.25757,71.67847,25.47729,78.72270644223241,0,Open
19.65088,71.7981,24.4873,78.36295112918094,0,Open
19.23706,71.67236,23.53394,77.85138404252554,0,Open
19.25537,71.15601,23.02246,77.22681333195484,0,Open
19.2749,71.00098,23.00415,77.08340838463813,0,Open
19.28345,70.89966,23.03833,77.00245373497522,0,Open
19.32983,70.92896,23.01147,77.033028280546,0,Open
19.34937,70.93018,23.05054,77.05073619713767,0,Open
19.35425,70.9021,22.92725,76.98930815402228,0,Open
19.41895,70.95459,22.97363,77.06774381378696,0,Open
19.43359,70.91919,23.07007,77.06765897799868,0,Open
19.37256,70.92285,23.13843,77.07615504123827,0,Open
19.41895,70.92896,23.14575,77.09564662707356,0,Open
19.40796,70.96558,23.22266,77.14968822732598,0,Open
19.44214,70.91064,23.13965,77.08280661153758,0,Open
19.42261,70.99976,23.15063,77.16317365600379,0,Open
19.38477,71.17554,23.28491,77.35576149164714,0,Open
19.36401,71.43066,23.44971,77.63499836027435,0,Open
19.27979,71.82251,23.78906,78.07754235904073,0,Open
19.21997,72.22168,24.23828,78.56763026960722,0,Open
19.40552,72.62085,24.91089,79.18910595394419,0,Open
19.86694,72.77466,25.85693,79.7460172805144,1,Closed
20.51758,72.63428,26.88965,80.12342352456803,1,Closed
21.09009,72.63184,27.95898,80.63423987757372,1,Closed
21.72363,72.54272,29.09302,81.12192143986545,1,Closed
22.33276,72.32788,30.06348,81.44867846823789,1,Closed
22.92236,72.1106,31.12061,81.81604724686778,1,Closed
23.60718,71.77612,31.93481,82.030131290538,1,Closed
24.35181,71.37573,32.79175,82.23627150699076,1,Closed
24.76074,71.09253,33.18726,82.27172231973815,1,Closed
24.56421,71.18774,32.948,82.19893821231331,1,Closed
24.10889,71.25732,31.90552,81.71172765940578,1,Closed
23.43872,71.51733,30.89233,81.35378379888793,1,Closed
22.8894,71.51855,29.91333,80.83090336097575,1,Closed
22.27173,71.64917,28.81348,80.37319297248429,1,Closed
21.72729,71.69678,27.74048,79.88765626642767,1,Closed
21.17432,71.75537,26.5625,79.38986936347294,0,Open
20.53589,71.88354,25.52368,78.99635650943719,0,Open
19.87915,71.93481,24.36768,78.50847930663923,0,Open
19.45801,71.75903,23.50098,77.97607710484927,0,Open
19.47388,71.30859,23.08228,77.43990353842713,0,Open
19.54224,71.14014,23.28003,77.36134991220165,0,Open
19.54956,71.0083,23.27148,77.23940539953685,0,Open
19.59473,70.95459,23.12012,77.15599286287099,0,Open
19.58374,70.90698,23.03955,77.08530047493167,0,Open
19.57397,70.9729,23.04688,77.14565129484163,0,Open
19.5166,70.99243,23.12012,77.1709967648423,0,Open
19.51904,71.00708,23.07495,77.1715728111751,0,Open
19.51782,70.95947,23.18115,77.15929882752823,0,Open
19.5459,71.0083,23.1189,77.19264481095333,0,Open
19.53491,70.94238,23.00659,77.09563653152233,0,Open
19.45679,70.87646,22.90894,76.98609479093805,0,Open
19.43115,70.92285,22.86987,77.01072130724332,0,Open
19.37378,71.03271,23.01636,77.1410530721619,0,Open
19.24927,71.33301,23.30688,77.4735010602167,0,Open
19.19312,71.75171,23.91235,78.02873974236032,0,Open
19.33716,72.18506,24.6228,78.68221478777272,0,Open
19.73755,72.28638,25.5835,79.17958755738059,0,Open
20.37842,72.24854,26.58569,79.63623827507237,1,Closed
20.85571,72.23755,27.69653,80.12691210603026,1,Closed
21.41357,72.09106,28.9209,80.57344704602441,1,Closed
22.03369,71.98975,29.95605,81.02698644082169,1,Closed
22.64771,71.82861,31.07056,81.47176002450051,1,Closed
23.28857,71.61011,32.1228,81.86720727310173,1,Closed
23.9856,71.14258,33.04199,82.02651278444365,1,Closed
24.6167,70.69214,33.59131,82.04716134142423,1,Closed
24.90479,70.39063,33.91113,82.00642715432674,1,Closed
24.39941,70.71289,33.45825,81.94570466816855,1,Closed
23.71704,71.02051,32.52686,81.63582209104837,1,Closed
23.17383,71.08032,31.47095,81.11632993469195,1,Closed
22.60132,71.29517,30.26978,80.68506994679808,1,Closed
22.02148,71.45996,29.20532,80.27715852528912,1,Closed
21.4624,71.54907,28.10059,79.80944298748739,1,Closed
20.86304,71.72974,26.89941,79.39773483454866,0,Open
20.28809,71.95557,25.65674,79.04099542199984,0,Open
19.63379,71.99097,24.55444,78.55638735977234,0,Open
19.12476,71.86523,23.49243,77.98885814855478,0,Open
19.17114,71.3562,22.98462,77.37914863762717,0,Open
19.26392,71.15845,22.78076,77.15948837535473,0,Open
19.37744,71.13525,22.7771,77.16544082635762,0,Open
19.3811,71.12549,22.77222,77.15592244720104,0,Open
19.38354,71.10962,22.77344,77.14226629357995,0,Open
19.32861,71.09497,22.85889,77.14025392663095,0,Open
19.24927,71.09863,22.94189,77.14842772333017,0,Open
19.23462,71.09985,23.06152,77.18155855693315,0,Open
19.32495,71.1084,23.03223,77.2032503320644,0,Open
19.37012,71.09619,23.00171,77.194225459257,0,Open
19.39209,71.19385,23.01758,77.29441390842548,0,Open
19.32007,71.13892,23.18604,77.27615087756959,0,Open
19.26514,71.09985,23.09082,77.19792910120388,0,Open
19.24683,71.13281,23.18604,77.25224640375579,0,Open
19.18701,71.15356,23.19824,77.26013715048207,0,Open
19.15527,71.23047,23.24707,77.33776883760417,0,Open
19.15283,71.41846,23.31055,77.52940775656035,0,Open
19.05151,71.72363,23.49976,77.84264803894199,0,Open
18.90747,72.07764,23.80005,78.22481057677929,0,Open
18.87207,72.47925,24.12109,78.68432937653786,0,Open
18.9209,72.88696,24.78027,79.27528729764718,0,Open
19.32007,73.0896,25.62866,79.82595408988546,1,Closed
19.92065,72.90527,26.64673,80.13774959336143,1,Closed
20.28198,72.95898,27.54639,80.58023999339353,1,Closed
21.02173,72.63428,28.57056,80.8327202438771,1,Closed
21.59302,72.58423,29.44824,81.2522479474316,1,Closed
22.17163,72.33032,30.59448,81.60440291203471,1,Closed
22.55737,72.26074,31.24634,81.8949525310327,1,Closed
22.62207,72.34131,31.56616,82.10630694865407,1,Closed
22.6001,72.21924,31.48315,81.96079477475861,1,Closed
22.52808,71.83716,30.84961,81.3620942608049,1,Closed
22.09106,71.67725,29.94019,80.75926000603398,1,Closed
21.40259,71.88354,28.9563,80.39764605589954,1,Closed
21.01196,71.82373,27.95044,79.88352615119152,1,Closed
20.33813,72.09229,26.94458,79.60495085556802,1,Closed
19.84009,72.13623,25.89844,79.17066403823199,0,Open
19.3335,72.15454,24.69482,78.67589211247623,0,Open
19.01367,71.83472,23.98926,78.08476957573032,0,Open
19.021,71.36475,23.42041,77.48058846014658,0,Open
19.17603,71.0498,23.25195,77.17802397964981,0,Open
19.20776,71.00464,23.30322,77.15981472318087,0,Open
19.21631,71.02539,23.29224,77.17772372184736,0,Open
19.25415,70.98022,23.28125,77.14227456481562,0,Open
19.22363,70.88745,23.3728,77.07701536592735,0,Open
19.15894,70.86548,23.45947,77.0670355614831,0,Open
19.11621,70.81055,23.52051,77.02452769557696,0,Open
19.10889,70.88989,23.49854,77.08895876437688,0,Open
19.08325,70.96191,23.27515,77.08109825977508,0,Open
19.08813,71.01074,23.23608,77.11548039149403,0,Open
19.00757,71.07056,23.16895,77.13048982160687,0,Open
18.96851,71.05957,23.02124,77.06649305205602,0,Open
19.0625,70.96436,22.94678,76.97969867976882,0,Open
19.10522,70.96924,22.91504,76.98533312019634,0,Open
19.15283,71.04004,22.88818,77.05444155869861,0,Open
19.17969,71.07788,22.79175,77.06743412008083,0,Open
19.15771,71.21582,22.83569,77.2021995055361,0,Open
19.10156,71.28296,22.89429,77.26757725850669,0,Open
19.08569,71.43066,23.18481,77.48637406375265,0,Open
19.02344,71.67603,23.35815,77.74926184483682,0,Open
18.97339,72.05078,23.76221,78.2045206544008,0,Open
19.00146,72.44629,24.53857,78.81409667401257,0,Open
19.47144,72.48901,25.67627,79.32883704912483,0,Open
19.8584,72.57446,26.69189,79.83649094633168,1,Closed
20.47241,72.40601,27.91626,80.25626098763759,1,Closed
20.99976,72.39014,28.92822,80.73514848964855,1,Closed
21.78711,71.90918,30.00366,80.90629112634011,1,Closed
22.53052,71.56494,31.05957,81.20259760167097,1,Closed
23.1897,71.29883,31.92871,81.49066123012501,1,Closed
23.94287,70.85327,32.86133,81.69035379344797,1,Closed
24.2688,70.75195,33.46191,81.94212898802787,1,Closed
24.21875,70.72754,33.20068,81.79986502725112,1,Closed
23.6853,70.91797,32.31567,81.45338809748677,1,Closed
23.28247,70.82642,31.3562,80.88056909887132,1,Closed
22.72827,70.99121,30.13672,80.40241319024821,1,Closed
22.18994,70.96313,29.07471,79.8341907843037,1,Closed
21.43799,71.31348,28.05786,79.57665080116215,1,Closed
20.78613,71.60034,26.96899,79.28428791452062,0,Open
20.30396,71.65283,25.86792,78.83862076303022,0,Open
19.66553,71.81396,24.79004,78.47626395454934,0,Open
19.42139,71.49658,23.83911,77.82836569542367,0,Open
19.46411,71.11084,23.51074,77.38448190008963,0,Open
19.43848,70.96924,23.32764,77.192398063913,0,Open
19.46777,71.02295,23.34351,77.25395106138907,0,Open
19.42749,71.05713,23.41187,77.29591676430198,0,Open
19.47632,71.15479,23.42041,77.40056062622932,0,Open
19.50195,71.15723,23.24463,77.35625546077253,0,Open
19.50317,71.11694,23.25928,77.32390898765335,0,Open
19.4165,71.18164,23.32153,77.38035995574394,0,Open
19.4397,71.16943,23.31543,77.37311534829007,0,Open
19.47144,71.18896,23.34839,77.40899377428504,0,Open
19.54834,71.20117,23.26538,77.41461175171584,0,Open
19.6521,71.21582,23.29346,77.46278675244004,0,Open
19.64844,71.22681,23.31543,77.478570800542,0,Open
19.62524,71.29028,23.3667,77.5464811350328,0,Open
19.50317,71.51978,23.62061,77.80350755633964,0,Open
19.47266,71.97876,24.18091,78.38904762172646,0,Open
19.53491,72.33154,24.95483,78.96966460488864,0,Open
20.09521,72.16553,26.08276,79.32207482373744,0,Open
20.56274,72.27295,27.06177,79.8657935135124,1,Closed
21.14624,72.146,28.23364,80.30782782386285,1,Closed
