Mx,My,Mz,M_mag,km,label
15.86182,69.74609,18.86841,73.9738555161795,1,Open
15.8606,69.75952,18.87085,73.98687885505713,1,Open
15.83862,69.70581,18.85864,73.9284122236512,1,Open
15.85205,69.70703,18.85498,73.93150743373086,1,Open
15.87646,69.7644,18.82813,73.98399805896204,1,Open
15.83252,69.7583,18.74023,73.94650315527639,1,Open
15.87524,69.78027,18.62549,73.94740160459055,1,Open
15.8728,69.76318,18.61572,73.9282902187708,1,Open
15.85815,69.77905,18.64624,73.94781272263974,1,Open
15.80688,69.86938,18.64014,74.02055482187635,1,Open
15.80078,69.91089,18.69263,74.07166533511582,1,Open
15.79346,69.98291,18.65723,74.12916633898293,1,Open
15.76904,70.04761,18.78052,74.21615875740336,1,Open
15.81177,70.11108,18.927,74.32231790182072,0,Closed
15.78735,70.12207,18.95508,74.33464992124331,0,Closed
15.84106,70.14771,19.00513,74.38303144188599,0,Closed
15.86548,70.16724,19.15161,74.44420185911123,0,Closed
15.88745,70.24292,19.25781,74.54758294958327,0,Closed
15.92773,70.27222,19.32983,74.60241158642394,0,Closed
15.99487,70.28076,19.41162,74.64604533074007,0,Closed
16.01929,70.32837,19.30054,74.66731629871667,0,Closed
16.02783,70.24658,19.35425,74.60603413443044,0,Closed
16.01196,70.23193,19.22485,74.55536004935527,0,Closed
15.96802,70.22339,19.021,74.4855731454924,0,Closed
15.99365,70.24658,18.91724,74.48651429108828,0,Closed
15.97168,70.177,18.92212,74.41742078516832,0,Closed
15.91187,70.0708,18.78296,74.26913360137239,0,Closed
15.83252,70.02686,18.68652,74.18635885875786,1,Open
15.82764,70.02197,18.53516,74.14271796256259,1,Open
15.76782,70.04272,18.49609,74.1398146601332,1,Open
15.66284,70.01221,18.58154,74.11010548313435,1,Open
15.61646,69.99023,18.48999,74.0566394632149,1,Open
15.63232,69.95972,18.44482,74.01988405755039,1,Open
15.63965,69.94019,18.54248,74.02737597611441,1,Open
15.57983,69.88037,18.55103,73.96038080098492,1,Open
15.55054,69.91211,18.38257,73.94214832386601,1,Open
15.49438,69.94629,18.46924,73.98426942618343,1,Open
15.52124,69.94141,18.42163,73.97341533133779,1,Open
15.47363,69.86572,18.34839,73.87364531473588,1,Open
15.4834,69.77295,18.27393,73.7694838324588,1,Open
15.5249,69.70825,18.25806,73.71308834281807,1,Open
